track_name,track_id,artist(s)_name,artist_count,released_year,released_month,released_day,popularity,acousticness_%,danceability_%,duration_ms,energy_%,instrumentalness_%,key,liveness_%,loudness,mode,speechiness_%,tempo(bpm),time_signature,valence_%
Every Breath You Take,1JSTJqkT5qHq8MDJnJbRE1,The Police,1,1983,6.0,17.0,89,54.3,82.0,253920,45.2,0.294,1,7.140000000000001,-9.796,1,3.4799999999999995,117.401,4,0.74
I'm Still Standing,1jDJFeK9x3OZboIAHsY9k2,Elton John,1,1983,5.0,30.0,86,35.6,50.4,183440,90.4,12.1,6,14.000000000000002,-6.863,1,17.9,176.808,4,0.772
Jingle Bell Rock - Daryl's Version,6pVW5LRWgeLaHudxauOTJU,Daryl Hall & John Oates,1,1983,11.0,1.0,83,61.3,66.60000000000001,126360,84.1,0.0,2,11.3,-3.592,1,3.12,128.706,4,0.84
Uptown Girl,5zA8vzDGqPl2AzZkEYQGKh,Billy Joel,1,1983,8.0,8.0,82,7.55,70.1,197707,94.4,0.0,4,60.1,-2.986,1,4.55,128.993,4,0.792
Sweet Dreams (Are Made of This) - Remastered,1TfqLAPs4K3s2rJMoCokcS,Eurythmics & Annie Lennox & Dave Stewart,3,1983,1.0,4.0,85,22.5,69.19999999999999,216933,71.1,0.0,0,12.0,-7.498,0,3.17,125.135,4,0.875
Talking In Your Sleep,7fRvtXvJMpGfTLdF0M09a1,The Romantics,1,1983,2.0,14.0,79,2.89,72.0,235093,96.7,0.0344999999999999,9,14.2,-4.434,0,3.43,129.766,4,0.977
Eyes Without A Face,0pUVeEgZuNyFzIMKp67RbS,Billy Idol,1,1983,11.0,1.0,79,1.77,39.1,299240,81.5,0.2259999999999999,9,27.6,-6.197,1,5.18,84.383,4,0.647
Girls Just Want to Have Fun,4y1LsJpmMti1PfRQV9AWWe,Cyndi Lauper,1,1983,10.0,14.0,82,22.0,71.0,238267,79.9,0.0602,6,34.9,-4.897,1,3.28,120.372,4,0.725
Rebel Yell,4TIJ7zSBNejpoIPaWpWRKc,Billy Idol,1,1983,11.0,1.0,77,0.0752999999999999,53.0,288533,86.4,0.0458999999999999,4,35.4,-4.948,0,6.1,166.312,4,0.484
Time After Time,7o9uu2GDtVDr9nsR7ZRN73,Cyndi Lauper,1,1983,10.0,14.0,81,48.7,72.6,241333,44.9,0.000134,0,8.24,-9.206,1,2.86,130.388,4,0.294
