track_name,track_id,artist(s)_name,artist_count,released_year,released_month,released_day,popularity,acousticness_%,danceability_%,duration_ms,energy_%,instrumentalness_%,key,liveness_%,loudness,mode,speechiness_%,tempo(bpm),time_signature,valence_%
Christmas Time Is Here,3bMfUUpzUzqWp9II00yRhE,Vince Guaraldi Trio,1,1998,1.0,1.0,81,98.4,36.7,163093,12.2,0.00437,9,17.2,-21.34,0,3.19,75.265,3,0.104
Iris,6Qyc6fS4DsZjB2mRW9DsQs,The Goo Goo Dolls,1,1998,9.0,11.0,88,0.125,31.5,289533,71.5,0.000797,11,9.42,-8.072,0,3.62,155.925,3,0.497
"Merry Christmas, Happy Holidays",4v9WbaxW8HdjqfUiWYWsII,*NSYNC,1,1998,10.0,27.0,78,10.4,64.3,255307,93.9,0.0,5,88.1,-3.967,1,4.63,104.999,4,0.756
Dragula,6Nm8h73ycDG2saCnZV8poF,Rob Zombie,1,1998,1.0,1.0,80,0.00874,59.1,222827,96.3,0.0107,0,7.81,-6.489,0,5.3100000000000005,125.03,4,0.609
Jingle Bell Rock,6xE98wKYt4vZk8j7cctjw8,Bobby Helms,1,1998,1.0,1.0,74,66.7,66.2,131733,40.3,0.0,2,5.27,-12.029,1,2.91,119.891,4,0.85
California Love - Original Version,3ia3dJETSOllPsv3LJkE35,2Pac & Roger & Dr. Dre,3,1998,1.0,1.0,83,3.04,76.3,284907,85.0,0.000121,7,37.1,-3.052,1,4.17,91.519,4,0.761
Linus And Lucy,33EcmYsTQVIGRGnGPOfTwu,Vince Guaraldi Trio,1,1998,1.0,1.0,76,80.4,38.1,184440,37.0,24.7,1,14.000000000000002,-15.948,1,3.91,81.06,4,0.814
The Kids Aren't Alright,4EchqUKQ3qAQuRNKmeIpnf,The Offspring,1,1998,11.0,16.0,84,0.7040000000000001,52.3,180160,94.3,0.0038099999999999,1,5.79,-4.203,1,3.37,99.607,4,0.766
Inside Out,6WlmEymaXKMRs3D2c4j6os,Duster,1,1998,2.0,24.0,79,84.0,55.3,141040,46.5,97.0,9,10.2,-9.664,1,3.01,79.223,4,0.652
Hit 'Em Up - Single Version,0Z2J91b2iTGLVTZC4fKgxf,2Pac & Outlawz,2,1998,1.0,1.0,82,3.94,91.6,312627,84.39999999999999,0.0,7,7.779999999999999,-3.967,1,23.6,95.19,4,0.586
Freak On a Leash,6W21LNLz9Sw7sUSNWMSHRu,Korn,1,1998,8.0,18.0,79,0.00223,35.3,255733,89.8,10.5,2,39.0,-5.877,1,5.2,103.293,4,0.525
Careless Whisper,4jDmJ51x1o9NZB5Nxxc7gY,George Michael,1,1998,11.0,9.0,84,13.0,57.4,300107,62.8,0.0,2,27.1,-8.815,0,3.6,153.119,4,0.803
Christmas Canon,0O4vuJynWVVdyvoHvZtnk3,Trans-Siberian Orchestra,1,1998,9.0,15.0,72,78.0,28.6,257987,36.2,44.5,2,17.2,-6.345,1,3.1,132.842,4,0.148
Doo Wop (That Thing),0uEp9E98JB5awlA084uaIg,Ms. Lauryn Hill,1,1998,8.0,25.0,78,3.93,53.5,320267,50.5,0.0,2,9.23,-8.926,0,24.5,99.935,4,0.495
Ex-Factor,2VjXGuPVVxyhMgER3Uz2Fe,Ms. Lauryn Hill,1,1998,8.0,25.0,75,11.8,59.3,326533,61.9,0.0,3,48.4,-9.003,0,9.76,80.02,4,0.668
Living Dead Girl,10V8XpuyMoEcSMfM79WDET,Rob Zombie,1,1998,1.0,1.0,73,0.504,51.8,201400,94.8,10.4,6,22.8,-5.58,0,6.83,103.025,4,0.55
Slide,0nnwn7LWHCAu09jfuH1xTA,The Goo Goo Dolls,1,1998,9.0,11.0,73,0.483,39.5,212067,84.3,0.0,8,4.04,-4.476,1,3.74,112.423,4,0.481
You Get What You Give,1Cwsd5xI8CajJz795oy4XF,New Radicals,1,1998,1.0,1.0,78,17.0,62.1,300773,90.1,0.0,2,8.75,-5.396,1,3.02,113.967,4,0.744
Sugar,31RTFPrB7wmYBhlkM2ILXG,System Of A Down,1,1998,,,76,0.167,45.1,153800,88.9,0.215,1,25.8,-2.693,1,26.1,131.073,4,0.586
Believe,2goLsvvODILDzeeiT4dAoR,Cher,1,1998,,,82,0.8200000000000001,65.2,239027,91.7,0.0,6,5.09,-6.72,1,5.48,132.975,4,0.459
Amor Platónico,6VFimaHK7Mv5GO5NrqGYu1,Los Tucanes De Tijuana,1,1998,6.0,30.0,76,5.48,86.7,179507,57.8,0.000148,3,6.510000000000001,-6.329,1,3.34,107.278,3,0.84
Still Not a Player (feat. Joe) - Radio Version,3GKL13lkM5nRc4zC1lIOrR,Big Pun & Joe,2,1998,4.0,28.0,73,20.3,90.0,236800,61.9,0.156,4,6.47,-6.518,0,31.2,94.121,4,0.864
Got the Life,6nJPHXRpKYv2yqtalEjKy5,Korn,1,1998,8.0,18.0,75,0.00188,50.1,225307,90.5,76.5,11,38.3,-5.721,0,5.18,123.277,4,0.584
Pretty Fly (For A White Guy),3SFXsFpeGmBTtQvKiwYMDA,The Offspring,1,1998,11.0,16.0,78,8.799999999999999,72.3,188667,89.5,0.0,11,7.17,-3.707,0,10.2,143.373,4,0.963
Ruff Ryders' Anthem,1BKT2I9x4RGKaKqW4up34s,DMX,1,1998,5.0,1.0,73,5.64,88.0,214440,57.7,0.000102,10,20.1,-8.093,0,30.2,90.991,4,0.74
O Holy Night,2aQkTUbJUHk3F6nMipZLbz,Etta James,1,1998,10.0,9.0,70,98.6,44.9,290640,3.76,0.681,0,11.2,-17.733,1,4.08,125.397,3,0.195
Inside Out,4GiVcDqNQI0fc0yYuRGH9m,Eve 6,1,1998,,,68,11.4,48.3,219467,81.8,0.0,11,36.7,-7.666,1,4.44,175.668,4,0.691
Fly Away,1OxcIUqVmVYxT6427tbhDW,Lenny Kravitz,1,1998,5.0,12.0,77,1.7999999999999998,58.7,221333,87.2,0.0,7,62.2,-5.066,1,4.84,159.925,4,0.735
The Boy Is Mine,6sHsXIJoEN5JpdkGMQDJxt,Brandy & Monica,2,1998,5.0,29.0,75,53.900000000000006,70.39999999999999,294787,70.7,0.106,1,31.8,-6.537,0,3.91,93.145,4,0.761
Wide Open Spaces,6cjwec9ii5uLK7CDfPBYt1,The Chicks,1,1998,1.0,27.0,69,57.7,56.3,223832,54.400000000000006,0.0,4,12.8,-6.102,1,3.06,179.351,4,0.602
Back That Azz Up,6o2g1BJvtYQssH84kBYs7y,JUVENILE & Lil Wayne & Mannie Fresh,3,1998,11.0,3.0,68,1.55,87.4,265600,71.39999999999999,0.0,7,9.68,-6.664,1,12.9,95.826,4,0.541
Intergalactic - Remastered 2009,5fpizYGbi5IQoEraj6FP0R,Beastie Boys,1,1998,7.0,14.0,71,2.2,73.4,231493,86.4,0.000985,2,24.6,-6.119,1,30.3,105.932,4,0.47
I'll Make a Man Out of You,28UMEtwyUUy5u0UWOVHwiI,Donny Osmond & Chorus - Mulan & Disney,3,1998,1.0,1.0,71,14.4,67.2,201680,32.2,0.00296,7,7.399999999999999,-17.669,1,3.39,113.852,4,0.496
Constellations,1MXOWbSCEjoGwivtIMnlBV,Duster,1,1998,2.0,24.0,71,89.7,86.5,223200,32.6,85.39999999999999,2,10.9,-12.607,1,6.44,110.328,4,0.144
One Week,29hBRadFZf9QTGRHZmxm65,Barenaked Ladies,1,1998,7.0,7.0,70,0.8540000000000001,70.19999999999999,169760,89.8,0.0154,9,9.17,-6.003,1,3.73,112.845,4,0.731
What It's Like,6vUPPEN2V2lZ78b6DyEIjZ,Everlast,1,1998,9.0,8.0,70,9.04,67.9,303133,55.7,3.24,0,8.66,-7.423,1,2.81,85.152,4,0.405
Happy Xmas (War Is Over),2ohR9Qj4TgZafZCptO9cly,Céline Dion,1,1998,10.0,30.0,78,45.1,34.7,254707,60.0,0.0,3,27.9,-5.254,1,3.03,172.062,4,0.158
Wanna Be A Baller,6lEIjrQNwJPecJ7mMXjhjo,Lil' Troy,1,1998,,,67,26.6,87.1,355067,64.8,0.0,10,20.0,-7.825,0,27.800000000000004,92.296,4,0.629
Rosa Parks,0shK5iZQppbHPQYiy60xs9,Outkast,1,1998,9.0,29.0,70,10.5,79.2,324373,70.1,0.0,6,76.1,-7.198,0,28.3,103.89,4,0.251
O Holy Night,5547x0ZawobhfSeh2QKAca,Céline Dion,1,1998,10.0,30.0,71,71.7,16.1,320760,29.5,0.000318,7,9.45,-8.873,1,3.78,76.938,4,0.0565
Changes,1ofhfV90EnYhEr7Un2fWiv,2Pac & Talent,2,1998,1.0,1.0,77,4.53,86.5,268827,66.5,0.0,7,22.4,-6.289,1,7.3,111.113,4,0.331
Save Tonight,1t2Hq2WIBcZINOEnK6mdJG,Eagle-Eye Cherry,1,1998,7.0,13.0,68,0.00924,54.7,239227,69.3,0.00546,0,11.3,-8.786,1,3.53,119.567,4,0.583
Can't Take My Eyes Off of You - (I Love You Baby),2GFExyKXf9383tSRSrEHEt,Ms. Lauryn Hill,1,1998,8.0,25.0,72,1.18,74.7,221467,66.2,0.0,1,13.8,-7.9,0,7.960000000000001,88.926,4,0.63
Why Don't You Get A Job,0sNKiz82ATCvT3f3XVVUUj,The Offspring,1,1998,11.0,16.0,75,6.74,76.6,172467,88.2,0.00023,5,28.1,-4.478,1,7.19,107.932,4,0.544
Every Morning,2ouURa1AIXp3AvkS52Jry5,Sugar Ray,1,1998,12.0,23.0,69,8.34,83.3,219867,67.9,0.258,8,7.689999999999999,-4.496,1,3.65,109.916,4,0.975
This Kiss,5EYWGM3Ns3iYew8ws0FatB,Faith Hill,1,1998,4.0,10.0,70,17.5,39.8,194307,80.4,0.0,11,18.1,-5.559,1,4.51,186.752,4,0.709
Bawitdaba,0f37VQs969vZUL4gVfHRV9,Kid Rock,1,1998,8.0,5.0,67,0.172,55.1,265840,93.9,0.0239,11,10.9,-5.371,1,17.1,90.592,4,0.367
Celebrity Skin,2V4Bc2I962j7acQj1N0PiQ,Hole,1,1998,1.0,1.0,71,0.000944,43.8,162667,90.5,0.0053999999999999,9,36.3,-6.161,1,4.19,134.163,4,0.723
