track_name,track_id,artist(s)_name,artist_count,released_year,released_month,released_day,popularity,acousticness_%,danceability_%,duration_ms,energy_%,instrumentalness_%,key,liveness_%,loudness,mode,speechiness_%,tempo(bpm),time_signature,valence_%
Under the Bridge,3d9DChrdc6BOeFsbrZ3Is0,Red Hot Chili Peppers,1,1991,9.0,24.0,87,5.76,55.900000000000006,264307,34.5,0.0105,4,14.099999999999998,-13.496,1,4.590000000000001,84.581,4,0.458
Smells Like Teen Spirit,5ghIJDpPoe3CfHMGu71E6T,Nirvana,1,1991,9.0,26.0,80,0.00255,50.2,301920,91.2,0.0173,1,10.6,-4.556,1,5.64,116.761,4,0.72
Enter Sandman (Remastered),3VqHuw0wFlIHcIPWkhIbdQ,Metallica,1,1991,8.0,12.0,78,0.2769999999999999,56.6,331560,83.39999999999999,0.8,6,6.25,-8.412,0,2.98,123.296,4,0.621
Come As You Are,4P5KoWXOxwuobLmHXLMobV,Nirvana,1,1991,9.0,26.0,79,0.016,50.0,218920,82.39999999999999,0.161,4,9.16,-5.846,0,3.88,120.125,4,0.539
Even Flow,6QewNVIDKdSl8Y3ycuHIei,Pearl Jam,1,1991,8.0,27.0,80,0.178,39.4,292581,94.4,0.000454,10,29.8,-6.506,0,7.61,105.338,4,0.265
Losing My Religion,31AOj9sFz2gM0O3hMARRBx,R.E.M.,1,1991,3.0,12.0,87,17.9,66.60000000000001,268427,85.5,0.0001199999999999,9,9.87,-5.051,0,2.95,125.639,4,0.803
Merry Christmas Everyone,2TE4xW3ImvpltVU0cPcKUn,Shakin' Stevens,1,1991,11.0,25.0,89,12.9,53.400000000000006,220160,90.4,0.0,9,12.8,-3.315,1,3.69,202.899,4,0.96
Lithium,2YodwKJnbPyNKe8XXSE9V7,Nirvana,1,1991,9.0,26.0,73,0.174,67.80000000000001,257053,65.60000000000001,0.0,7,6.3100000000000005,-6.41,1,3.81,123.207,4,0.485
Nothing Else Matters (Remastered),2CtemffYhT0DJWcT1XW047,Metallica,1,1991,8.0,12.0,72,5.220000000000001,54.7,388733,39.4,0.0006399999999999,4,7.95,-9.793,0,2.62,142.37,3,0.17
Something In The Way,1nFtiJxYdhtFfFtfXBv06s,Nirvana,1,1991,9.0,26.0,72,74.5,42.7,232147,20.1,26.3,8,10.9,-13.044,1,3.17,105.218,4,0.0668
