track_name,track_id,artist(s)_name,artist_count,released_year,released_month,released_day,popularity,acousticness_%,danceability_%,duration_ms,energy_%,instrumentalness_%,key,liveness_%,loudness,mode,speechiness_%,tempo(bpm),time_signature,valence_%
This Christmas,38xhBO2AKrJnjdjVnhJES6,Donny Hathaway,1,1990,4.0,3.0,81,29.2,63.4,231173,64.5,0.0,5,24.6,-9.2,1,3.76,93.047,4,0.677
Carol of the Bells,4tHqQMWSqmL6YjXwsqthDI,Mykola Dmytrovych Leontovych & John Williams,2,1990,,,82,99.4,41.8,85267,10.6,2.92,8,17.9,-22.507,0,4.48,46.718,4,0.8
Thunderstruck,57bgtoPSgt236HzfBOd8kj,AC/DC,1,1990,9.0,24.0,85,0.0147,50.2,292880,89.0,1.17,4,21.7,-5.175,1,3.64,133.52,4,0.259
Man in the Box,6gZVQvQZOFpzIy3HblJ20F,Alice In Chains,1,1990,8.0,1.0,77,0.045,35.5,285200,79.10000000000001,0.0,8,9.69,-7.565,1,4.53,106.392,4,0.758
Poison,6m59VvDUi0UQsB2eZ9wVbH,Bell Biv DeVoe,1,1990,1.0,1.0,72,0.1949999999999999,84.0,261853,56.00000000000001,0.417,6,63.3,-10.53,0,21.0,111.815,4,0.775
Hard To Handle,05NYcsjJwOYq4jIiKPVj9p,The Black Crowes,1,1990,2.0,13.0,72,0.257,59.9,188067,79.0,0.181,4,31.2,-3.58,1,4.3,103.783,4,0.961
Can I Kick It?,3Ti0GdlrotgwsAVBBugv0I,A Tribe Called Quest,1,1990,4.0,17.0,73,17.299999999999997,84.8,251573,66.60000000000001,0.0698999999999999,0,12.9,-6.547,1,27.4,96.662,4,0.744
Cowboys from Hell,2SgbR6ttzoNlCRGQOKjrop,Pantera,1,1990,7.0,20.0,75,0.437,41.5,243533,90.8,3.45,2,8.200000000000001,-9.701,1,7.649999999999999,114.816,4,0.437
She Talks To Angels,5NK8jad728pj6YeqM5VJD4,The Black Crowes,1,1990,2.0,13.0,67,6.0,58.4,329400,52.1,0.0075599999999999,4,22.0,-5.782,1,2.95,160.058,4,0.317
Cherry-coloured Funk,37pKTyMwalomKCZjxTc2QZ,Cocteau Twins,1,1990,9.0,17.0,70,0.196,49.0,192467,65.2,0.00624,2,9.91,-5.813,1,2.74,90.085,4,0.339
Fancy,0FtV0YbnnjD7PXpLHFHPhn,Reba McEntire,1,1990,1.0,1.0,67,22.6,67.4,299733,51.7,0.0,11,6.97,-11.225,1,7.26,94.98,4,0.482
U Can't Touch This,1B75hgRqe7A4fwee3g3Wmu,MC Hammer,1,1990,2.0,20.0,75,0.4559999999999999,86.7,257360,51.7,0.0339,11,8.64,-13.222,0,8.75,133.148,4,0.866
"Main Title ""Somewhere in My Memory"" (From ""Home Alone"") - Voice",1FlxqJmoZWS2q1uRlyZVur,John Williams & Boston Pops Orchestra,2,1990,,,71,96.9,16.400000000000002,293533,7.19,31.7,2,7.88,-18.535,1,3.55,74.352,4,0.0784
Hunger Strike,0W7AbEauB7cP4pidLclApe,Temple Of The Dog,1,1990,1.0,1.0,69,2.36,37.3,246267,56.7,0.000347,7,9.16,-10.835,1,3.2,137.789,4,0.298
Wind Of Change,3ovjw5HZZv43SxTwApooCM,Scorpions,1,1990,1.0,1.0,81,31.5,45.2,312360,52.400000000000006,0.0,0,10.3,-10.108,1,3.51,151.505,4,0.246
Rayando el Sol,4Ofg5uuH7qqDIXpAJMpXZV,Maná,1,1990,7.0,2.0,79,45.0,64.3,250107,80.9,0.000122,7,15.4,-3.275,1,2.8000000000000003,112.677,4,0.499
"It Must Have Been Love - From the Film ""Pretty Woman""",6kvoHl80mfCVTv7XnZkjQn,Roxette,1,1990,5.0,20.0,79,34.0,52.0,258787,65.2,0.00549,5,25.6,-6.655,1,2.74,80.609,4,0.722
More Than Words,1gVgkQFOKa8Wc1HYsJtPdH,Extreme,1,1990,1.0,1.0,78,46.7,62.6,334107,13.4,0.0,6,11.3,-14.898,1,2.98,91.893,4,0.239
There She Goes,4c6vZqYHFur11FbWATIJ9P,The La's,1,1990,,,75,1.3,53.3,162187,76.1,82.89999999999999,7,20.7,-10.632,1,2.98,122.777,4,0.917
Hold On,4VZDv8sASBS8UruUBGTFdk,Wilson Phillips,1,1990,5.0,8.0,69,40.0,67.9,266867,65.7,0.0,5,4.97,-9.897,1,2.55,97.8,4,0.546
There She Goes,0SMkzFGJOBFDI9KfYD55L0,The La's,1,1990,,,66,1.29,53.6,162160,85.39999999999999,74.3,7,15.6,-6.907,1,2.98,122.733,4,0.905
Heaven or Las Vegas,0AxZUYeQ9bZwSdt1LmZuok,Cocteau Twins,1,1990,9.0,17.0,67,0.00697,20.200000000000003,298400,80.4,0.775,7,8.1,-5.465,1,3.83,179.911,4,0.418
Nothing Compares 2 U,5GHY1DFWKz3Prg2V0Iodqo,Sinéad O'Connor,1,1990,7.0,1.0,77,4.25,51.2,280040,57.4,0.00231,5,10.5,-7.016,1,2.73,119.917,4,0.161
