track_name,track_id,artist(s)_name,artist_count,released_year,released_month,released_day,popularity,acousticness_%,danceability_%,duration_ms,energy_%,instrumentalness_%,key,liveness_%,loudness,mode,speechiness_%,tempo(bpm),time_signature,valence_%
Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,1,2019,8,23,99,11.7,55.2,178427,70.19999999999999,0.0020599999999999,9,10.5,-5.707,1,15.7,169.994,4,0.564
Heading South,2Dct3GykKZ58hpWRFfe2Qd,Zach Bryan,1,2019,9,30,85,78.3,68.0,171693,24.6,0.0,4,10.6,-14.112,1,5.800000000000001,110.23,4,0.388
Lover,1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,1,2019,8,23,92,49.2,35.9,221307,54.3,0.00158,7,11.8,-7.582,1,9.19,68.534,4,0.453
Heart To Heart,7EAMXbLcL0qXmciM5SwMh2,Mac DeMarco,1,2019,5,10,86,66.7,90.1,211140,13.6,35.4,8,10.9,-16.127,0,10.2,150.076,4,0.643
All Your'n,0fCwTrRNfoNk962ati8n2K,Tyler Childers,1,2019,8,2,82,40.8,58.5,218280,55.00000000000001,0.00397,11,11.5,-7.342,1,2.55,78.176,4,0.839
ORANGE SODA,5FkoSXiJPKTNyYgALRJFhD,Baby Keem,1,2019,7,19,84,17.7,83.0,129882,56.39999999999999,0.0,1,12.8,-7.822,1,23.5,85.042,4,0.107
Jealous,1aXV8GrmQLvgoFtBPERP7E,Eyedress,1,2019,12,6,86,0.491,47.4,122339,92.1,85.0,9,47.6,-10.431,0,4.569999999999999,93.01,4,0.696
HONEST,58k32my5lKofeZRtIvBDg9,Baby Keem,1,2019,7,19,83,40.3,67.60000000000001,172672,53.6,0.0033699999999999,2,10.5,-8.79,1,4.32,79.037,4,0.373
Let Go,7cLnbmx7ZUWAwyocrKz3wL,Aaron May,1,2019,2,28,83,4.6,87.0,176532,49.8,0.0,9,14.6,-8.339,0,6.22,110.017,4,0.692
MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,J. Cole,1,2019,1,23,84,14.9,83.7,213594,36.4,0.0,8,27.1,-11.713,1,27.6,123.984,4,0.463
rises the moon,51Grh1RyUDcMBbpuyUIUHI,Liana Flores,1,2019,4,10,85,94.7,48.3,161929,12.9,14.499999999999998,5,10.6,-20.149,0,3.49,137.35,3,0.203
Circles,21jGcNKet2qwijlDFuPiPb,Post Malone,1,2019,9,6,88,19.2,69.5,215280,76.2,0.244,0,8.63,-3.497,1,3.95,120.042,4,0.553
Christmas Tree Farm,2mvabkN1i2gLnGAPUVdwek,Taylor Swift,1,2019,12,6,85,6.0,59.8,228027,68.0,0.0,7,32.4,-4.505,1,3.31,134.002,4,0.437
YKWIM?,2vWBUC9djv6BtiGlmKiQaH,Yot Club,1,2019,5,31,84,93.7,37.2,212750,53.7,87.3,9,28.7,-7.623,1,3.05,123.735,3,0.228
What You Heard,3a3dQOO19moXPeTt2PomoT,Sonder,1,2019,2,22,82,54.6,42.9,238242,37.1,0.000571,2,10.4,-9.017,0,3.27,137.134,4,0.135
The Man,3RauEVgRgj1IuWdJ9fDs70,Taylor Swift,1,2019,8,23,86,7.670000000000001,77.7,190360,65.8,0.0,0,9.01,-5.191,1,5.4,110.048,4,0.633
ARE WE STILL FRIENDS?,5TxRUOsGeWeRl3xOML59Ai,"Tyler, The Creator",1,2019,5,17,82,12.8,21.6,265480,49.7,0.000239,10,11.1,-8.025,1,3.71,187.308,3,0.313
Mrs Magic,0TZejo18HlJ86OrWNsXKnw,Strawberry Guy,1,2019,7,24,83,15.9,47.1,208500,63.4,36.5,8,37.4,-7.406,1,3.1,132.542,4,0.366
Kingston,5WbfFTuIldjL9x7W6y5l7R,Faye Webster,1,2019,5,24,81,15.4,73.0,202653,35.5,0.155,10,11.7,-9.13,0,3.5900000000000003,142.143,4,0.56
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,1,2019,5,17,90,75.1,50.1,182161,40.5,0.0,1,10.5,-5.679,1,3.19,109.891,4,0.446
Like It's Christmas,1OjmlSFuzYflWjSMTCyTJv,Jonas Brothers,1,2019,11,8,85,1.83,72.5,200880,57.1,0.0,1,5.19,-6.007,1,10.2,146.035,4,0.61
Cry,3p4hRhMcb6ch8OLtATMaLw,Cigarettes After Sex,1,2019,10,25,86,75.6,40.6,256800,39.900000000000006,67.80000000000001,7,11.2,-10.449,1,2.78,142.83,4,0.163
EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,"Tyler, The Creator",1,2019,5,17,82,23.0,55.400000000000006,190067,49.8,0.000598,9,79.5,-8.866,1,6.8500000000000005,79.635,4,0.413
Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,Post Malone & Swae Lee,2,2019,9,6,87,53.3,75.5,157560,52.2,0.0,2,6.8500000000000005,-4.368,1,5.75,89.96,4,0.925
The Box,0nbXyq5TXYPCO7pr3N8S4I,Roddy Ricch,1,2019,12,6,86,10.4,89.60000000000001,196653,58.6,0.0,10,79.0,-6.687,0,5.59,116.971,4,0.642
Ransom,1lOe9qE0vR9zwWQAOk6CoO,Lil Tecca,1,2019,8,30,84,2.04,74.5,131240,64.2,0.0,7,6.58,-6.257,0,28.7,179.974,4,0.226
NEW MAGIC WAND,0fv2KH6hac06J86hBUTcSf,"Tyler, The Creator",1,2019,5,17,83,9.67,62.1,195320,73.0,0.0131,5,67.30000000000001,-5.414,0,10.7,139.566,4,0.464
Paper Rings,4y5bvROuBDPr5fuwXbIBZR,Taylor Swift,1,2019,8,23,85,1.29,81.10000000000001,222400,71.89999999999999,0.00136,9,7.42,-6.553,1,4.97,103.979,4,0.865
Are You Bored Yet? (feat. Clairo),57RA3JGafJm5zRtKJiKPIm,Wallows & Clairo,2,2019,3,22,83,15.6,68.2,178000,68.30000000000001,0.00232,8,27.3,-6.444,0,2.87,120.023,4,0.64
