track_name,track_id,artist(s)_name,artist_count,released_year,released_month,released_day,popularity,acousticness_%,danceability_%,duration_ms,energy_%,instrumentalness_%,key,liveness_%,loudness,mode,speechiness_%,tempo(bpm),time_signature,valence_%
Seven Nation Army,3dPQuX8Gs42Y7b454ybpMR,The White Stripes,1,2003,4.0,1.0,86,0.3899999999999999,74.3,232107,44.6,11.8,4,33.7,-7.807,0,6.83,123.596,4,0.278
Numb,2nLtzopw4rPReszdYBJU6h,Linkin Park,1,2003,3.0,24.0,88,0.4599999999999999,49.6,185587,86.3,0.0,9,63.9,-4.153,1,3.81,110.018,4,0.243
Hey Ya!,2PpruBYCo4H7WOBJ7Q2EwM,Outkast,1,2003,,,84,10.3,72.7,235213,97.4,0.0532,4,17.4,-2.261,0,6.64,79.526,4,0.965
Bring Me To Life,0COqiPhxzoWICwFCS4eZcp,Evanescence,1,2003,3.0,4.0,86,0.721,33.1,235893,94.3,0.000206,4,24.2,-3.188,0,6.98,94.612,4,0.296
In Da Club,4RY96Asd9IefaL3X4LOLZ8,50 Cent,1,2003,2.0,6.0,77,26.0,90.2,193467,72.0,0.0,6,7.489999999999999,-2.776,0,34.7,90.059,4,0.805
Crazy In Love (feat. Jay-Z),5IVuqXILoxVWvWEPm82Jxr,Beyoncé & JAY-Z,2,2003,6.0,24.0,80,0.249,64.60000000000001,236133,77.0,0.0,2,7.15,-6.596,0,22.6,99.165,4,0.681
Toxic,6I9VzXrHxO9rA9A5euc8Ak,Britney Spears,1,2003,11.0,13.0,85,2.49,77.4,198800,83.8,2.5,5,24.2,-3.914,0,11.4,143.04,4,0.924
Dile,69Ej1xrGjOcHvIMtMKxK0G,Don Omar,1,2003,1.0,1.0,84,18.4,81.69999999999999,204600,71.39999999999999,0.0132,4,4.2,-7.501,0,14.099999999999998,94.001,4,0.714
Many Men (Wish Death),2I9foKseoFQh07p6sD2voE,50 Cent,1,2003,2.0,6.0,74,1.53,65.3,256227,82.6,0.146,6,13.1,-2.93,0,35.4,108.52,5,0.416
I Miss You,1oTo3ijRbaDAtrjJrGAPSw,blink-182,1,2003,1.0,1.0,78,0.103,66.4,227240,78.10000000000001,0.0005329999999999,11,8.67,-6.547,1,3.39,110.0,4,0.593
If I Ain't Got You,3XVBdLihbNbxUwZosxcGuJ,Alicia Keys,1,2003,12.0,2.0,83,60.3,60.9,228707,44.4,0.000686,7,10.4,-9.129,1,10.6,118.402,3,0.166
I Hate Everything About You,0M955bMOoilikPXwKLYpoi,Three Days Grace,1,2003,4.0,19.0,78,0.461,49.8,231480,83.0,0.0,6,13.900000000000002,-5.157,0,4.21,89.342,4,0.453
21 Questions,41bIQPBE1lFN0mmw6Lmssz,50 Cent & Nate Dogg,2,2003,2.0,6.0,76,35.3,57.6,224427,80.7,0.0363,6,5.12,-3.908,0,31.7,90.012,4,0.908
Ocean Avenue,23oxJmDc1V9uLUSmN2LIvx,Yellowcard,1,2003,1.0,1.0,75,0.00343,48.6,198267,90.4,0.00283,6,9.47,-3.751,0,6.38,173.734,4,0.786
The Reason,77loZpT5Y5PRP1S451P9Yz,Hoobastank,1,2003,12.0,9.0,83,1.29,47.2,232800,67.10000000000001,0.0,4,15.9,-4.649,1,2.9000000000000004,82.952,4,0.0681
Faint,4Yf5bqU3NK4kNOypcrLYwU,Linkin Park,1,2003,3.0,24.0,82,11.1,55.400000000000006,162600,97.8,0.0,4,7.31,-3.554,1,13.1,135.095,4,0.594
Pa' Que Retozen,5YJ4BVvTFmVCxUyhKejHfR,Tego Calderón,1,2003,7.0,1.0,83,40.0,81.5,151667,85.6,0.00834,1,24.4,-3.825,0,12.2,91.995,4,0.872
Stacy's Mom,27L8sESb3KR79asDUBu8nW,Fountains Of Wayne,1,2003,1.0,1.0,76,0.207,77.4,197987,75.0,0.00178,11,8.08,-4.927,0,4.12,118.015,4,0.927
Suga Suga,6Nq5lE0CeOAAAqN4qhkbZU,Baby Bash & Frankie J,2,2003,1.0,1.0,75,68.8,66.2,239027,74.8,0.000843,5,8.41,-3.041,0,26.8,82.331,4,0.535
