track_name,track_id,artist(s)_name,artist_count,released_year,released_month,released_day,popularity,acousticness_%,danceability_%,duration_ms,energy_%,instrumentalness_%,key,liveness_%,loudness,mode,speechiness_%,tempo(bpm),time_signature,valence_%
we fell in love in october,6IPwKM3fUUzlElbvKw2sKl,girl in red,1,2018,11.0,21.0,89,11.3,56.6,184154,36.6,18.1,7,15.5,-12.808,1,2.8000000000000003,129.96,4,0.237
Whiskey Glasses,6foY66mWZN0pSRjZ408c00,Morgan Wallen,1,2018,4.0,27.0,83,36.9,61.4,234347,68.0,0.000184,6,11.5,-4.58,1,2.89,149.959,4,0.707
Blue Hair,39sDitIeCMrVX2QyXHY46t,TV Girl,1,2018,5.0,8.0,86,55.400000000000006,75.1,217000,72.0,4.97,4,25.8,-6.376,1,3.03,135.73,4,0.884
Chasin' You,5MwynWK9s4hlyKHqhkNn4A,Morgan Wallen,1,2018,4.0,27.0,82,65.7,63.1,205453,59.1,0.0,7,11.0,-5.785,1,2.77,97.074,4,0.489
All Girls Are The Same,4VXIryQMWpIdGgYR4TrjT1,Juice WRLD,1,2018,12.0,10.0,87,7.689999999999999,67.10000000000001,165820,52.900000000000006,0.0335,0,8.559999999999999,-7.226,1,30.7,161.989,4,0.203
Show Me How,01TyFEZu6mHbffsVfxgrFn,Men I Trust,1,2018,2.0,28.0,85,67.4,79.10000000000001,215111,26.700000000000003,53.400000000000006,5,10.2,-11.997,1,4.15,165.99,4,0.544
Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,Lil Baby & Gunna,2,2018,10.0,5.0,86,8.52,89.7,145543,66.2,0.0,1,53.400000000000006,-6.903,0,29.2,112.511,4,0.389
Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,Lil Baby & Drake,2,2018,5.0,18.0,83,3.55,96.3,142273,34.599999999999994,0.0,5,10.8,-9.309,0,53.0,119.957,4,0.562
Pure Cocaine,577YBGuskWkVDCxZrLRB4v,Lil Baby,1,2018,11.0,30.0,84,0.127,96.4,154024,48.7,0.000657,10,11.5,-6.071,0,42.1,127.05,4,0.107
ball w/o you,50a8bKqlwDEqeiEknrzkTO,21 Savage,1,2018,12.0,21.0,84,4.67,89.2,195047,63.3,0.0189,8,13.900000000000002,-7.471,1,9.02,137.994,4,0.459
Violent Crimes,3s7MCdXyWmwjdcWh7GWXas,Kanye West,1,2018,6.0,1.0,85,37.6,66.9,215320,41.9,0.0,1,18.7,-6.724,0,52.2,109.813,4,0.0397
Snowman,7uoFMmxln0GPXQ0AcCBXRq,Sia,1,2018,11.0,1.0,92,48.3,71.6,165907,51.2,0.0,1,9.28,-6.257,1,3.31,104.957,3,0.326
Beautiful Crazy,2rxQMGVafnNaRaXlRMWPde,Luke Combs,1,2018,6.0,1.0,83,67.60000000000001,55.1,193200,40.2,0.0,11,9.28,-7.431,1,2.62,103.313,4,0.382
Lucid Dreams,285pBltuF7vW8TeWk8hdRR,Juice WRLD,1,2018,12.0,10.0,86,34.9,51.1,239836,56.6,0.0,6,34.0,-7.23,0,20.0,83.903,4,0.218
Washing Machine Heart,3jjsRKEsF42ccXf8kWR3nu,Mitski,1,2018,8.0,17.0,86,0.92,61.3,128199,82.19999999999999,50.6,9,42.9,-4.087,1,2.6,105.997,4,0.567
All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,Kendrick Lamar & SZA,2,2018,2.0,9.0,86,6.05,69.8,232187,63.3,0.0194,8,9.26,-4.946,1,5.970000000000001,96.924,4,0.552
You Get Me So High,7zwn1eykZtZ5LODrf7c0tS,The Neighbourhood,1,2018,11.0,2.0,85,18.6,55.1,153000,88.1,7.91,7,15.2,-6.099,0,5.42,88.036,4,0.387
lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,Billie Eilish & Khalid,2,2018,4.0,19.0,90,93.4,35.099999999999994,200186,29.6,0.0,4,9.5,-10.109,0,3.3300000000000005,115.284,4,0.12
a lot,2t8yVaLvJ0RenpXUIAC52d,21 Savage,1,2018,12.0,21.0,83,3.95,83.7,288624,63.6,0.125,1,34.2,-7.643,1,8.6,145.972,4,0.274
Telephones,0JIMT9gzLIIz0esKLyjbKf,Vacations,1,2018,,,83,0.283,52.6,212432,44.7,3.01,2,10.9,-9.268,1,2.74,74.995,4,0.183
Trust,0oufSLnKQDoBFX5mgkDCgR,Brent Faiyaz,1,2018,10.0,19.0,83,23.1,76.4,158421,39.4,0.00937,8,11.7,-8.559,1,15.2,92.009,4,0.465
She Got the Best of Me,698eQRku24PIYPQPHItKlA,Luke Combs,1,2018,6.0,1.0,81,2.92,53.3,183160,90.7,0.0,11,38.6,-3.793,1,4.06,150.99,4,0.7
SLOW DANCING IN THE DARK,0rKtyWc8bvkriBthvHKY8d,Joji,1,2018,10.0,26.0,84,54.400000000000006,51.5,209274,47.9,0.598,3,19.1,-7.458,1,2.6100000000000003,88.964,4,0.284
