track_name,track_id,artist(s)_name,artist_count,released_year,released_month,released_day,popularity,acousticness_%,danceability_%,duration_ms,energy_%,instrumentalness_%,key,liveness_%,loudness,mode,speechiness_%,tempo(bpm),time_signature,valence_%
All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,1,1994,10.0,28.0,98,16.400000000000002,33.6,241107,62.7,0.0,7,7.08,-7.463,1,3.84,150.273,4,0.35
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),4kKdvXD0ez7jp1296JmAts,Frank Sinatra & B. Swanson Quartet,2,1994,11.0,8.0,88,90.3,65.2,155453,25.9,0.0,2,36.2,-13.336,1,5.949999999999999,142.169,4,0.836
Christmas (Baby Please Come Home),3PIDciSFdrQxSQSihim3hN,Mariah Carey,1,1994,10.0,28.0,86,2.2,56.10000000000001,153240,78.2,0.0,3,10.9,-7.444,1,3.17,127.148,4,0.704
Basket Case,6L89mwZXSOwYl76YXfX13s,Green Day,1,1994,2.0,1.0,85,0.293,44.2,181533,94.3,0.0008709999999999,3,9.1,-3.205,1,6.02,85.064,4,0.781
Santa Claus Is Comin' to Town,6YeDjSHCDmJKgU8foiaruL,Frank Sinatra,1,1994,11.0,8.0,81,82.6,64.60000000000001,154640,20.4,0.0,10,31.2,-11.957,1,5.65,140.281,4,0.688
Zombie,7EZC6E7UjZe63f1jRmkWxt,The Cranberries,1,1994,10.0,3.0,85,1.58,30.9,306440,64.9,0.5910000000000001,7,36.7,-8.994,1,3.5000000000000004,166.915,4,0.312
Big Poppa - 2005 Remaster,2g8HN35AnVGIk7B8yMucww,The Notorious B.I.G.,1,1994,9.0,13.0,82,43.0,78.0,252747,57.49999999999999,0.0,9,14.3,-7.247,0,27.3,84.492,4,0.773
Say It Ain't So,6VoIBz0VhCyz7OdEoRYDiA,Weezer,1,1994,5.0,10.0,78,0.737,63.4,258827,55.1,0.0018199999999999,3,7.000000000000001,-7.136,1,3.52,151.779,4,0.453
Black Hole Sun,2EoOZnxNgtmZaD8uUmz2nD,Soundgarden,1,1994,3.0,9.0,79,0.0217,35.0,318587,82.8,0.0161,6,7.739999999999999,-5.373,1,4.1000000000000005,105.435,4,0.147
When I Come Around,1Dr1fXbc2IxaK1Mu8P8Khz,Green Day,1,1994,2.0,1.0,80,1.7500000000000002,53.1,178000,90.9,0.0,11,23.1,-4.236,1,3.4000000000000004,97.546,4,0.814
Interstate Love Song - 2019 Remaster,6qLEOZvf5gI7kWE63JE7p3,Stone Temple Pilots,1,1994,6.0,7.0,77,0.0273,21.5,194853,92.7,0.661,9,12.6,-7.327,1,4.52,170.814,4,0.49
Buddy Holly,3mwvKOyMmG77zZRunnxp9E,Weezer,1,1994,5.0,10.0,76,0.271,55.60000000000001,159227,92.0,0.021,8,11.7,-4.606,1,3.67,121.138,4,0.771
Self Esteem,1FkoVC85Ds3mFoK0fVqEqP,The Offspring,1,1994,4.0,8.0,79,2.04,48.8,257827,86.2,0.0,0,35.9,-7.595,1,4.760000000000001,104.56,4,0.706
Loser,5PntSbMHC1ud6Vvl8x56qd,Beck,1,1994,3.0,1.0,73,3.37,65.4,235000,61.1,0.0178,2,40.5,-10.45,1,11.9,85.387,4,0.786
O Holy Night,3B7FO3kJ5kv3mX7yiaB7sT,Mariah Carey,1,1994,10.0,28.0,79,36.7,36.8,266933,50.5,0.000663,4,15.4,-7.208,1,2.85,173.977,3,0.192
Sabotage,0Puj4YlTm6xNzDDADXHMI9,Beastie Boys,1,1994,5.0,23.0,76,3.2,32.4,178440,93.8,3.2099999999999995,6,9.61,-7.332,0,10.2,168.131,4,0.543
Dust On The Bottle,0Xg68XXMRWzKQvD5S6BFvI,David Lee Murphy,1,1994,1.0,1.0,72,2.37,73.6,224667,61.4,0.000584,11,29.2,-11.124,1,3.89,99.942,4,0.858
Smooth Operator - Single Version,1Hv1VTm8zeOeybub15mA2R,Sade,1,1994,10.0,31.0,81,23.8,73.4,258693,57.99999999999999,0.06,9,2.98,-6.619,0,3.2099999999999995,119.336,4,0.962
