track_name,track_id,artist(s)_name,artist_count,released_year,released_month,released_day,popularity,acousticness_%,danceability_%,duration_ms,energy_%,instrumentalness_%,key,liveness_%,loudness,mode,speechiness_%,tempo(bpm),time_signature,valence_%
Party In The U.S.A.,5Q0Nhxo0l2bP3pNjpGJwV1,Miley Cyrus,1,2009,1.0,1.0,79,0.1119999999999999,65.2,202067,69.8,0.0115,10,8.86,-4.667,0,4.2,96.021,4,0.47
Best I Ever Had,3QLjDkgLh9AOEHlhQtDuhs,Drake,1,2009,,,80,19.0,39.5,257690,92.2,0.0,1,13.4,-2.176,1,37.5,162.361,4,0.558
Dog Days Are Over,1YLJVmuzeM2YSUkCCaTNUB,Florence + The Machine,1,2009,,,78,4.16,49.2,251840,81.0,0.379,7,11.7,-5.315,1,8.469999999999999,149.954,4,0.245
Rosyln,4k7x3QKrc3h3U0Viqk0uop,Bon Iver & St. Vincent,2,2009,10.0,9.0,79,97.1,32.9,289560,27.700000000000003,2.4,10,9.71,-13.111,0,3.02,159.719,3,0.121
Ain't No Rest for the Wicked,3Pzh926pXggbMe2ZpXyMV7,Cage The Elephant,1,2009,3.0,24.0,76,4.38,63.6,175493,84.89999999999999,0.0,0,37.2,-7.075,1,10.6,156.036,4,0.917
Day 'N' Nite (nightmare),5wfllwdjglyQislkskYLBv,Kid Cudi,1,2009,1.0,1.0,75,48.0,88.1,221240,44.1,0.000908,11,11.9,-6.278,0,6.460000000000001,138.014,4,0.804
Empire State Of Mind,2igwFfvr1OAGX9SKDCPBwO,JAY-Z & Alicia Keys,2,2009,9.0,8.0,85,2.95,49.1,276920,95.6,0.0,11,46.0,-1.538,1,39.2,173.585,4,0.811
Run This Town,7LR85XLWw2yXqKBSI5brbG,JAY-Z & Rihanna & Kanye West,3,2009,9.0,8.0,82,28.1,63.2,267520,92.4,0.0,1,26.3,-1.802,1,29.0,86.844,4,0.441
Bad Romance,0SiywuOBRcynK0uKGWdCnn,Lady Gaga,1,2009,11.0,5.0,84,0.314,69.6,294573,92.1,0.00524,0,8.42,-3.755,1,3.63,119.001,4,0.714
I Gotta Feeling,2H1047e0oMSj10dgp7p2VG,Black Eyed Peas,1,2009,1.0,1.0,77,8.73,74.4,289133,76.6,0.0,0,50.9,-6.375,1,2.65,127.966,4,0.61
Monster,2UREu1Y8CO4jXkbvqAtP7g,Skillet,1,2009,8.0,21.0,80,4.31,64.0,178013,95.7,0.0,8,7.89,-2.336,1,7.41,134.992,4,0.692
All I Wanted,1Bv3h7Vc4AaYA2BcSM3rVd,Paramore,1,2009,9.0,28.0,76,1.92,49.4,225787,72.3,3.22,6,13.4,-4.559,0,4.41,144.036,4,0.152
Big Black Car,3Kj2EWpIBnvETsYq4cq0IH,Gregory Alan Isakov,1,2009,1.0,1.0,78,90.9,60.0,217467,18.6,0.102,3,10.4,-15.926,1,3.17,110.044,4,0.468
Down,6cmm1LMvZdB5zsCwX5BjqE,Jay Sean & Lil Wayne,2,2009,1.0,1.0,80,1.01,72.7,212507,68.0,0.0,2,8.21,-4.498,1,2.86,132.012,4,0.728
Little Lion Man,4B4vB3oB8csotplfoQcAd6,Mumford & Sons,1,2009,10.0,2.0,73,2.34,52.0,247002,49.6,0.00205,5,9.05,-8.121,1,2.71,138.81,4,0.496
