track_name,track_id,artist(s)_name,artist_count,released_year,released_month,released_day,popularity,acousticness_%,danceability_%,duration_ms,energy_%,instrumentalness_%,key,liveness_%,loudness,mode,speechiness_%,tempo(bpm),time_signature,valence_%
Stick Season,0mflMxspEfB0VbI1kyLiAv,Noah Kahan,1,2022,10,14,92,78.2,66.2,182347,48.8,0.0,9,10.2,-6.894,1,6.819999999999999,117.913,4,0.817
Something in the Orange,3WMj8moIAXJhHsyLaqIIHI,Zach Bryan,1,2022,4,22,90,55.50000000000001,36.9,228013,19.2,0.000835,4,9.54,-12.151,0,4.0,175.212,3,0.148
Snooze,4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,1,2022,12,9,92,14.099999999999998,55.900000000000006,201800,55.1,0.0,5,11.0,-7.231,1,13.2,143.008,4,0.392
Romantic Homicide,1xK59OXxi2TAAAbmZK0kBL,d4vd,1,2022,7,20,90,45.3,57.1,132631,54.400000000000006,0.8049999999999999,6,32.2,-10.613,1,2.99,132.052,4,0.216
Kill Bill,1Qrg8KqiBpW07V7PNxwwwL,SZA,1,2022,12,8,91,5.21,64.4,153947,73.5,14.4,8,16.1,-5.747,1,3.91,88.98,4,0.418
Jimmy Cooks (feat. 21 Savage),3F5CgOj3wFlRv51JsHbxhe,Drake & 21 Savage,2,2022,6,17,89,0.0306999999999999,52.900000000000006,218365,67.30000000000001,0.0002409999999999,0,9.3,-4.711,1,17.5,165.921,4,0.366
Anti-Hero,0V3wPSX9ygBnCm8psDIegu,Taylor Swift,1,2022,10,21,92,13.0,63.7,200690,64.3,0.0001799999999999,4,14.2,-6.571,1,5.19,97.008,4,0.533
As It Was,4Dvkj6JhhA12EX05fT7y2e,Harry Styles,1,2022,5,20,94,34.2,52.0,167303,73.1,0.101,6,31.1,-5.338,0,5.57,173.93,4,0.662
Superhero (Heroes & Villains) [with Future & Chris Brown],0vjeOZ3Ft5jvAi9SBFJm1j,Metro Boomin & Future & Chris Brown,3,2022,12,2,88,15.2,52.6,182667,60.6,0.000236,5,19.4,-5.3,0,25.9,116.622,4,0.492
Surround Sound (feat. 21 Savage & Baby Tate),1udwFobQ1JoOdWPQrp2b6u,JID & 21 Savage & Baby Tate,3,2022,10,31,89,17.299999999999997,57.49999999999999,229938,56.00000000000001,0.0,5,25.7,-7.302,1,47.8,75.956,4,0.471
Sun to Me,1SjsVdSXpwm1kTdYEHoPIT,Zach Bryan,1,2022,5,20,83,59.3,50.5,163032,27.0,0.0,9,13.3,-9.165,0,3.3300000000000005,98.721,4,0.557
Creepin' (with The Weeknd & 21 Savage),2dHHgzDwk4BJdRwy9uXhTO,Metro Boomin & The Weeknd & 21 Savage,3,2022,12,2,91,41.7,71.5,221520,62.0,0.0,1,8.219999999999999,-6.005,0,4.84,97.95,4,0.172
Nonsense,6dgUya35uo964z7GZXM07g,Sabrina Carpenter,1,2022,7,15,90,2.68,74.0,163648,69.69999999999999,0.0,8,22.4,-4.912,1,3.4000000000000004,138.992,4,0.732
Oklahoma Smokeshow,0OWhKvvsHptt6vnnNUSM9a,Zach Bryan,1,2022,7,15,83,9.58,54.400000000000006,211739,57.3,0.0,8,10.4,-5.694,1,3.56,122.977,4,0.233
Rich Flex,1bDbXMyjaUIooNwFE9wn0N,Drake & 21 Savage,2,2022,11,4,87,5.029999999999999,56.10000000000001,239360,52.0,0.000186,11,35.5,-9.342,0,24.4,153.15,3,0.424
Karma,7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,1,2022,10,21,88,7.340000000000001,64.2,204852,62.0,0.0,8,48.3,-7.091,1,6.660000000000001,90.02,4,0.0969
Trance (with Travis Scott & Young Thug),5wG3HvLhF6Y5KTGlK0IW3J,Metro Boomin & Travis Scott & Young Thug,3,2022,12,2,88,18.0,57.1,194787,54.900000000000006,0.0,1,16.8,-7.38,0,40.400000000000006,119.497,4,0.447
Too Many Nights (feat. Don Toliver & with Future),2Hh3ETdQKrmSI3QS0hme7g,Metro Boomin & Future & Don Toliver,3,2022,12,2,89,18.9,68.4,199920,67.10000000000001,0.00237,7,12.2,-4.392,0,4.64,88.048,4,0.156
"Burn, Burn, Burn",5jfhLCSIFUO4ndzNRh4w4G,Zach Bryan,1,2022,9,8,82,89.7,50.8,268856,29.6,0.005,3,11.0,-10.513,1,7.55,82.532,4,0.134
WAIT FOR U (feat. Drake & Tems),59nOXPmaKlBfGMDeOVGrIK,Future & Drake & Tems,3,2022,4,29,85,31.4,46.3,189893,64.2,0.0,1,6.859999999999999,-4.474,1,34.0,83.389,4,0.339
Spin Bout U,2ZL7WZcjuYKi1KUDtp4kCC,Drake & 21 Savage,2,2022,11,4,83,1.0,77.3,214589,70.1,0.0,7,16.3,-6.386,1,5.12,129.963,4,0.203
Please Don't Go,6DHPLbudo5JXNdUlG7zDcC,Wyatt Flores,1,2022,7,15,81,37.9,68.30000000000001,181499,55.400000000000006,0.011,6,8.450000000000001,-7.487,0,5.0,85.455,4,0.452
ceilings,2L9N0zZnd37dwF0clgxMGI,Lizzy McAlpine,1,2022,4,8,86,47.3,51.6,182888,32.2,0.194,9,21.5,-11.762,1,2.92,148.005,3,0.261
Low,2GAhgAjOhEmItWLfgisyOn,SZA,1,2022,12,9,84,42.5,69.8,181080,54.6,0.314,0,16.0,-7.234,0,5.59,145.044,4,0.335
Out thë way,6IyoLWzljeR3ldQo4KWHT6,Yeat,1,2022,9,9,84,21.0,76.7,150242,62.8,0.000879,4,27.500000000000004,-7.41,0,24.2,128.07,4,0.798
I Ain't Worried,4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,1,2022,5,13,91,8.260000000000002,70.39999999999999,148486,79.7,0.0745,0,5.46,-5.927,1,4.75,139.994,4,0.825
Porch Light,43SoxERu5UlXAgt4Es1VQU,Josh Meloy,1,2022,11,18,80,5.8500000000000005,64.7,184949,47.7,0.0,6,15.9,-8.264,1,3.56,142.034,4,0.477
