track_name,track_id,artist(s)_name,artist_count,released_year,released_month,released_day,popularity,acousticness_%,danceability_%,duration_ms,energy_%,instrumentalness_%,key,liveness_%,loudness,mode,speechiness_%,tempo(bpm),time_signature,valence_%
Santeria,2hnMS47jN0etwvFPzYk11f,Sublime,1,1996,7.0,30.0,80,2.68,68.2,182747,76.5,0.00342,1,18.8,-5.021,0,3.95,90.807,4,0.567
Lovefool,7aQjPecQdIuNd1sz3KCDhD,The Cardigans,1,1996,1.0,1.0,81,3.44,70.39999999999999,193953,63.6,0.0,9,35.0,-6.029,1,2.52,111.845,4,0.89
What I Got,3B4q6KbHbGV51HO3GznBFF,Sublime,1,1996,7.0,30.0,76,0.877,80.4,170907,69.6,0.0985,7,31.4,-7.47,1,8.99,95.721,4,0.657
Return of the Mack,3jDdpx9PMlfMBS5tOBHFm9,Mark Morrison,1,1996,4.0,22.0,78,0.631,71.5,213093,83.3,0.0,2,16.400000000000002,-5.379,1,10.8,95.487,4,0.612
Christmas Eve / Sarajevo 12/24 - Instrumental,3sBnSBnzpEYKpJYGsAIbup,Trans-Siberian Orchestra,1,1996,10.0,15.0,75,19.7,29.2,205333,56.7,85.2,4,9.47,-9.487,0,3.16,186.405,3,0.156
Step On Me,6ZaiqbV2GfUtrUlhsu58fN,The Cardigans,1,1996,1.0,1.0,77,0.644,33.1,230186,47.1,0.0,2,6.529999999999999,-5.631,1,2.99,90.057,4,0.142
No Diggity,6MdqqkQ8sSC0WB4i8PyRuQ,Blackstreet & Dr. Dre & Queen Pen,3,1996,9.0,9.0,80,30.3,86.7,304600,64.60000000000001,0.0,1,27.9,-4.674,0,28.8,88.634,4,0.67
Wannabe,1Je1IMUlBXcx1Fz0WE7oPT,Spice Girls,1,1996,1.0,1.0,83,10.1,76.8,173027,86.4,0.0,11,16.2,-6.145,1,3.24,110.008,4,0.891
Ambitionz Az A Ridah,5g9lS8deSIxItFBmZRC4vN,2Pac,1,1996,2.0,13.0,80,0.239,80.10000000000001,278387,91.0,0.0891,2,7.37,-6.566,1,22.5,87.277,4,0.805
Push,2KVwlelhxKUy8LVV6JypH3,Matchbox Twenty,1,1996,10.0,1.0,75,0.67,42.0,238667,67.2,0.0,6,10.8,-7.902,1,2.7,168.019,4,0.476
Killing Me Softly With His Song,0Q0IVlqMV64kNLlwjPj0Hl,Fugees & Ms. Lauryn Hill,2,1996,2.0,13.0,80,2.79,76.5,298773,29.0,0.0,4,57.1,-17.117,0,13.900000000000002,92.409,4,0.506
"Heads Carolina, Tails California",6Lmx6bz3PGYuNSjKMnYBOa,Jo Dee Messina,1,1996,4.0,2.0,72,4.71,60.7,209760,81.5,0.00281,4,11.1,-6.619,1,3.9,136.949,4,0.57
Bulls On Parade,0tZ3mElWcr74OOhKEiNz1x,Rage Against The Machine,1,1996,4.0,16.0,76,1.24,41.2,229467,91.9,6.01,5,42.4,-7.291,1,18.4,166.367,4,0.572
3AM,5vYA1mW9g2Coh1HUFUSmlb,Matchbox Twenty,1,1996,10.0,1.0,74,0.573,52.1,225947,67.30000000000001,0.0,8,12.0,-8.685,1,2.8400000000000003,108.031,4,0.543
One In A Million,6gdhHMWUv1pvkOHqCUGvCp,Aaliyah,1,1996,8.0,27.0,72,3.47,74.1,270760,50.8,0.0064499999999999,11,6.02,-5.099,0,5.07,121.965,4,0.354
All Eyez On Me (ft. Big Syke),4VQNCzfZ3MdHEwwErNXpBo,2Pac & Big Syke,2,1996,2.0,13.0,80,2.93,87.2,307773,72.3,0.0,1,32.7,-5.968,1,24.7,93.279,4,0.843
Piensa En Mí,1xKP7GVLY33i5jmx1bB1Kk,Grupo Mojado,1,1996,1.0,1.0,76,34.8,72.0,177040,53.8,0.0,10,6.54,-8.874,1,4.55,80.096,4,0.805
ATLiens,2vfvGlqCB7oertO5VLE0sz,Outkast,1,1996,8.0,27.0,73,2.96,91.8,230693,73.4,0.000801,11,19.1,-2.832,0,26.9,97.044,4,0.608
One Headlight,0z1b34WikhOH9ZxU8QDWcv,The Wallflowers,1,1996,1.0,1.0,73,0.0655,70.1,312627,53.900000000000006,0.5,2,5.89,-8.968,1,2.77,107.531,4,0.752
The Beautiful People,2aIB1CdRRG7YLBu9hNw9nR,Marilyn Manson,1,1996,,,76,0.0779,62.1,218827,83.39999999999999,45.6,10,6.11,-10.068,0,5.57,143.973,4,0.937
