track_name,track_id,artist(s)_name,artist_count,released_year,released_month,released_day,popularity,acousticness_%,danceability_%,duration_ms,energy_%,instrumentalness_%,key,liveness_%,loudness,mode,speechiness_%,tempo(bpm),time_signature,valence_%
Africa,2374M0fQpWi3dLnB54qaLX,TOTO,1,1982,4.0,8.0,86,25.7,67.10000000000001,295893,37.3,0.00801,9,4.81,-18.064,1,3.2300000000000004,92.718,4,0.732
Under Pressure - Remastered 2011,11IzgLRXV7Cgek3tEgGgjw,Queen & David Bowie,2,1982,5.0,3.0,74,42.2,67.10000000000001,248440,71.1,0.0,2,10.4,-7.813,1,4.78,113.809,4,0.466
Maneater,7j74lucZ59vqN67Ipe2ZcY,Daryl Hall & John Oates,1,1982,10.0,4.0,82,4.05,72.39999999999999,273173,49.8,0.00856,11,7.61,-13.083,0,4.23,88.825,4,0.823
Jack & Diane,43btz2xjMKpcmjkuRsvxyg,John Mellencamp,1,1982,,,75,3.65,81.10000000000001,254493,41.0,0.000663,9,7.99,-8.214,1,3.91,103.965,4,0.626
Should I Stay or Should I Go - Remastered,39shmbIHICJ2Wxnk1fPSdz,The Clash,1,1982,,,81,8.04,74.3,188987,83.6,0.0,2,38.4,-6.465,1,11.6,113.375,4,0.82
Come On Eileen,3MrWxJaD2AT0W9DjWF64Vm,Dexys Midnight Runners,1,1982,7.0,22.0,78,66.4,45.0,287307,65.60000000000001,0.0003019999999999,2,25.9,-7.049,1,4.72,106.61,4,0.782
Amarillo By Morning,4TnUKixNWMfajncgdSwFoi,George Strait,1,1982,1.0,1.0,72,26.4,60.6,173467,36.1,0.00339,9,38.0,-16.031,1,3.46,121.059,4,0.621
Hurts So Good,67eX1ovaHyVPUinMHeUtIM,John Mellencamp,1,1982,,,74,4.2,78.5,218960,73.7,0.0107,9,10.8,-5.306,1,3.63,125.447,4,0.971
Billie Jean,7J1uxwnxfQLu4APicE5Rnj,Michael Jackson,1,1982,11.0,30.0,81,1.73,93.2,294227,45.7,4.36,11,4.14,-9.62,0,5.41,117.002,4,0.884
Hungry Like the Wolf - 2009 Remaster,39lSeqnyjZJejRuaREfyLL,Duran Duran,1,1982,5.0,10.0,75,4.33,69.1,220627,81.2,0.0001159999999999,0,29.9,-7.772,1,5.58,127.568,4,0.685
White Wedding - Pt. 1,1gzIbdFnGJ226LTl0Cn2SX,Billy Idol,1,1982,1.0,1.0,75,1.3299999999999998,67.30000000000001,252200,81.39999999999999,0.293,9,34.300000000000004,-5.411,1,3.67,147.193,4,0.728
Eye of the Tiger,2HHtWyy5CgaQbC7XSoOb0e,Survivor,1,1982,,,78,21.6,81.5,243773,43.8,0.0466,0,7.870000000000001,-14.522,0,3.46,108.965,4,0.552
Beat It,3BovdzfaX4jb5KFQwoPfAw,Michael Jackson,1,1982,11.0,30.0,78,2.42,77.60000000000001,258400,71.1,0.0353,3,23.4,-9.03,0,4.73,138.728,4,0.901
P.Y.T. (Pretty Young Thing),1CgmY8fVN7kstVDZmsdM5k,Michael Jackson,1,1982,11.0,30.0,72,17.2,89.4,239027,67.0,0.0363,11,6.909999999999999,-9.406,0,4.74,127.209,4,0.961
Heat Of The Moment,1nmZ8yqKkfooOuYvtFctDp,Asia,1,1982,3.0,8.0,72,20.4,30.6,227893,86.0,0.0146,1,36.9,-7.371,1,5.34,136.265,4,0.541
You Can't Hurry Love - 2016 Remaster,4YwbSZaYeYja8Umyt222Qf,Phil Collins,1,1982,11.0,5.0,79,2.6100000000000003,62.0,175747,93.6,0.0,7,6.79,-4.593,1,3.08,97.527,4,0.763
Here We Come a-Caroling / We Wish You a Merry Christmas,4LUAIXN6bpnEVaJZOLfuDt,Perry Como,1,1982,9.0,12.0,68,97.8,57.1,94733,16.6,0.0,8,25.3,-16.883,1,4.71,93.914,3,0.707
Rock the Casbah - Remastered,56KqaFSGTb7ifpt16t5Y1N,The Clash,1,1982,,,74,29.1,79.7,222427,87.2,0.0,9,28.4,-6.727,0,5.75,129.885,4,0.866
Rosanna,37BTh5g05cxBIRYMbw8g2T,TOTO,1,1982,4.0,8.0,74,2.08,36.5,331200,51.3,0.0147,7,20.5,-13.034,0,3.5700000000000003,80.647,4,0.739
Caught Up In You,3jYRpwbctfqB77uU7T7K3U,38 Special,1,1982,1.0,1.0,65,2.29,42.5,279333,68.10000000000001,0.0219,1,5.43,-8.604,0,3.16,131.011,4,0.933
No One Like You,26fZwf1ImE4aUJ4XaqOkUg,Scorpions,1,1982,4.0,10.0,69,2.03,50.5,237467,63.1,0.0022099999999999,9,14.099999999999998,-10.433,0,3.8,118.178,4,0.835
"Hey, Hey, What Can I Do - Remaster",16VhHtoaOjTU4AJBNSBNQ1,Led Zeppelin,1,1982,11.0,19.0,66,16.6,46.8,236760,85.8,0.0304,1,8.07,-9.639,1,5.43,77.987,4,0.526
Abracadabra,2E2ZVy2fxslpAUgbb4zu84,Steve Miller Band,1,1982,1.0,1.0,70,7.489999999999999,79.10000000000001,308373,53.5,0.000196,9,15.6,-13.261,0,3.55,127.488,4,0.963
Sexual Healing,3VZmChrnVW8JK6ano4gSED,Marvin Gaye,1,1982,10.0,1.0,75,11.9,80.5,238600,60.2,0.0121999999999999,0,5.81,-9.7,0,5.79,94.382,4,0.744
Bad To The Bone,6s0NHplywwr1IjnQpUpWJk,George Thorogood & The Destroyers,1,1982,1.0,1.0,71,0.614,45.9,292173,72.7,6.52,0,38.4,-11.777,1,3.03,149.231,1,0.955
Thriller,2LlQb7Uoj1kKyGhlkBf9aC,Michael Jackson,1,1982,11.0,30.0,73,3.18,77.10000000000001,357800,68.7,0.0225,11,89.0,-9.814,1,6.93,118.392,4,0.783
I Keep Forgettin' (Every Time You're Near),5GvWrvLIqoHroq7YvO260M,Michael McDonald,1,1982,8.0,3.0,67,35.7,73.4,222280,48.5,0.019,4,4.01,-13.865,0,4.65,95.321,4,0.933
Love My Way,4dk40nfaQav6b4ZsJ9OYUo,The Psychedelic Furs,1,1982,,,68,0.487,63.7,213973,85.0,0.018,0,15.2,-5.054,1,3.51,126.106,4,0.52
Slow Hand,2h1Xj6D76ygKS3tu9DgIY5,Conway Twitty,1,1982,,,63,22.0,79.60000000000001,174640,33.7,0.0,5,11.5,-18.041,1,3.34,106.923,4,0.858
I Like It,1c5KZhtOAOH7eFOlBekNhS,DeBarge,1,1982,4.0,28.0,64,44.6,67.5,279400,73.3,0.0018,9,20.1,-4.5,1,4.43,175.011,4,0.83
Forget Me Nots - Remastered,5ERZGchTi6sysVmA913Ryx,Patrice Rushen,1,1982,4.0,14.0,70,7.969999999999999,91.9,284507,45.8,5.58,6,5.34,-6.963,0,4.29,113.82,4,0.963
Human Nature,4cgjA7B4fJBHyB9Ya2bu0t,Michael Jackson,1,1982,11.0,30.0,69,49.8,62.8,246040,40.9,0.565,2,29.0,-14.348,1,3.06,93.005,4,0.755
I'm So Excited,1ot6jEe4w4hYnsOPjd3xKQ,The Pointer Sisters,1,1982,2.0,1.0,75,9.62,59.0,230640,86.8,0.0322,5,44.2,-5.832,0,4.8,184.348,4,0.798
You've Got Another Thing Coming,4f3RDq9nYPBeR1yMSgnmBm,Judas Priest,1,1982,,,67,0.5720000000000001,51.9,310080,83.3,0.000433,6,10.4,-6.947,0,4.96,138.225,4,0.532
Bam Bam,7ixiCZEHWHc8FxaQXQh2P4,Sister Nancy,1,1982,,,69,82.5,72.2,196507,60.5,1.78,5,24.8,-6.07,1,15.3,165.998,4,0.709
Southern Cross - 2005 Remaster,5AoZknxgY6F25gAcVahO41,"Crosby, Stills & Nash",1,1982,6.0,21.0,64,48.0,66.8,281000,44.7,0.000289,2,15.3,-11.124,1,3.12,81.415,4,0.588
Islands In the Stream,6dnco8haegnJYtylV26cBq,Dolly Parton & Kenny Rogers,2,1982,10.0,4.0,68,67.5,61.7,251960,41.1,0.000104,8,8.86,-12.075,1,3.73,203.934,4,0.738
I Melt with You,6J2rMSRhgb4HuX6dWgM3nJ,Modern English,1,1982,1.0,25.0,61,0.0974999999999999,54.1,251573,81.0,0.158,0,6.81,-11.745,1,3.67,155.582,4,0.647
Run to the Hills (2015 Remaster),5b1jZ9geGD4boxz24XgGPp,Iron Maiden,1,1982,3.0,22.0,60,2.86,24.9,233507,94.3,0.404,0,16.1,-5.188,1,6.65,173.672,4,0.457
Eye In The Sky,39qYD4J4BKvZMQgxfXl5bv,The Alan Parsons Project,1,1982,,,75,56.2,82.3,276280,41.7,0.098,2,7.649999999999999,-12.643,1,3.2,111.928,4,0.522
You Dropped A Bomb On Me,1VKPiQJnV15flF5B3zeocD,The Gap Band,1,1982,1.0,1.0,61,0.737,78.60000000000001,312907,62.7,0.186,9,18.1,-11.177,1,3.39,126.461,4,0.831
Valerie,3aAuIvgJGdp4wWd60riWfB,Steve Winwood,1,1982,8.0,2.0,68,56.7,71.7,246667,52.7,0.668,9,7.85,-10.779,1,2.92,116.288,4,0.731
