track_name,track_id,artist(s)_name,artist_count,released_year,released_month,released_day,popularity,acousticness_%,danceability_%,duration_ms,energy_%,instrumentalness_%,key,liveness_%,loudness,mode,speechiness_%,tempo(bpm),time_signature,valence_%
Last Christmas,2FRnf9qhLbvw8fu4IBXx78,Wham!,1,1984,11.0,29.0,93,18.9,73.5,262960,47.8,0.000248,2,35.5,-12.472,1,2.93,107.682,4,0.947
Do They Know It's Christmas? - 1984 Version,4Yg2w0P29BBBMixyeNjDtj,Band Aid,1,1984,11.0,25.0,86,16.400000000000002,59.8,222533,64.3,0.00335,0,9.92,-6.933,1,3.64,115.41,4,0.349
This Night Has Opened My Eyes - 2011 Remaster,69Kzq3FMkDwiSFBQzRckFD,The Smiths,1,1984,,,79,0.102,69.6,221533,62.8,42.8,2,27.200000000000003,-8.407,1,2.74,100.038,4,0.701
Summer Of '69,0GONea6G2XdnHWjNZd6zt3,Bryan Adams,1,1984,11.0,5.0,84,1.83,50.8,216053,83.39999999999999,0.0,2,7.32,-6.205,1,3.86,139.131,4,0.774
For Whom The Bell Tolls (Remastered),51YZAJhOwIC5Gg3jMbAmhZ,Metallica,1,1984,7.0,27.0,73,0.631,51.2,309973,86.0,0.528,0,6.52,-6.145,1,7.03,117.909,4,0.258
This Charming Man - 2011 Remaster,1FvDJ9KGxcqwv1utyPL3JZ,The Smiths,1,1984,2.0,20.0,80,0.509,61.1,162920,84.6,0.0,11,7.84,-5.9,1,4.36,103.912,4,0.751
Panama - 2015 Remaster,05RgAMGypEvqhNs5hPCbMS,Van Halen,1,1984,1.0,4.0,76,0.122,52.6,210227,97.8,0.00475,8,7.439999999999999,-5.436,1,10.8,141.167,4,0.451
Wake Me Up Before You Go-Go,0ikz6tENMONtK6qGkOrU3c,Wham!,1,1984,10.0,23.0,82,27.1,62.0,231333,57.3,0.0,0,6.069999999999999,-11.893,1,4.23,81.548,4,0.897
Jump - 2015 Remaster,7N3PAbqfTjSEU1edb2tY8j,Van Halen,1,1984,1.0,4.0,81,17.1,57.2,241600,83.5,0.0377,0,7.02,-6.219,1,3.17,129.981,4,0.795
I Want to Know What Love Is - 1999 Remaster,1JLn8RhQzHz3qDqsChcmBl,Foreigner,1,1984,12.0,12.0,84,19.3,47.7,304787,47.1,0.000176,6,13.1,-10.036,1,2.77,81.204,4,0.423
Thank God It's Christmas - 2011 Remaster,3AymrUApW5JKKaNrHQhcBG,Queen,1,1984,2.0,27.0,72,21.5,30.4,261627,42.0,0.0,7,23.200000000000003,-8.882,1,2.81,86.269,5,0.328
Dancing In the Dark,7FwBtcecmlpc1sLySPXeGE,Bruce Springsteen,1,1984,6.0,4.0,81,1.15,52.7,241307,94.2,0.0,1,18.8,-5.64,0,3.66,148.723,4,0.495
