track_name,track_id,artist(s)_name,artist_count,released_year,released_month,released_day,popularity,acousticness_%,danceability_%,duration_ms,energy_%,instrumentalness_%,key,liveness_%,loudness,mode,speechiness_%,tempo(bpm),time_signature,valence_%
Money Trees,2HbKqm4o0w5wEeEFXm2sD4,Kendrick Lamar & Jay Rock,2,2012,,,84,7.03,71.6,386907,53.1,0.0,7,22.4,-7.355,1,12.2,71.994,4,0.344
It's Beginning to Look a Lot like Christmas,5a1iz510sv2W9Dt1MvFd5R,Michael Bublé,1,2012,11.0,9.0,90,90.8,33.900000000000006,206640,21.4,0.0007469999999999,4,34.1,-11.714,1,3.75,94.775,3,0.363
Love Sosa,01Lr5YepbgjXAWR9iOEyH1,Chief Keef,1,2012,1.0,1.0,84,3.61,77.2,246213,41.3,0.0,0,11.1,-8.193,0,8.9,131.965,4,0.211
Thinkin Bout You,7DfFc7a6Rwfi3YQMRbDMau,Frank Ocean,1,2012,7.0,10.0,84,40.9,72.1,200747,33.900000000000006,0.153,0,9.73,-11.195,1,5.319999999999999,129.83,4,0.2
When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh,Bruno Mars,1,2012,12.0,7.0,90,93.2,61.2,213827,28.000000000000004,0.0,0,8.799999999999999,-8.648,1,4.34,72.795,4,0.387
Locked out of Heaven,3w3y8KPTfNeOKPiqUTakBh,Bruno Mars,1,2012,12.0,7.0,91,4.9,72.6,233478,69.8,0.0,5,30.9,-4.165,1,4.31,143.994,4,0.867
Lost,3GZD6HmiNUhxXYf8Gch723,Frank Ocean,1,2012,7.0,10.0,86,2.72,91.3,234093,60.3,0.0503,8,16.7,-4.892,1,22.6,123.061,4,0.497
My Kind of Woman,6jgkEbmQ2F2onEqsEhiliL,Mac DeMarco,1,2012,10.0,16.0,83,0.294,50.1,190846,76.5,49.0,6,18.4,-7.063,0,2.81,91.771,4,0.46
O Tannenbaum,4YhY2qHdBmSX33uj8ms0oq,Vince Guaraldi Trio,1,2012,1.0,1.0,79,90.8,58.3,309387,19.1,0.8240000000000001,5,12.6,-15.938,1,4.04,123.303,4,0.342
Ho Hey,0W4Kpfp1w2xkY3PrV714B7,The Lumineers,1,2012,4.0,3.0,79,79.4,68.5,163133,46.6,0.000206,0,9.15,-9.074,1,3.04,79.936,4,0.353
Everybody Talks,2iUmqdfGZcHIhS3b9E9EWq,Neon Trees,1,2012,1.0,1.0,81,0.301,47.1,177280,92.4,0.0,8,31.3,-3.906,1,5.86,154.961,4,0.725
Pyramids,4QhWbupniDd44EDtnh2bFJ,Frank Ocean,1,2012,7.0,10.0,80,1.18,40.0,592920,65.0,0.0076199999999999,5,79.10000000000001,-6.104,0,4.66,107.989,4,0.15
Demons,3LlAyCYU26dvFZBDUIMb7a,Imagine Dragons,1,2012,9.0,4.0,77,19.0,50.5,175200,71.0,0.025,3,32.9,-3.015,1,3.2099999999999995,89.938,4,0.428
Mary,4p9iQNEmsIGkB6eG8Val8n,Alex G,1,2012,11.0,5.0,76,4.97,69.3,197733,46.7,45.2,4,10.7,-9.558,0,4.3,105.955,4,0.402
King For A Day,1IT0WQk5J8NsaeII8ktdlZ,Pierce The Veil & Kellin Quinn,2,2012,7.0,17.0,79,0.0038099999999999,40.3,236293,96.5,0.0276,6,34.1,-2.238,1,9.64,112.363,4,0.431
Flowers in Your Hair,3Hvg5tRKsQlX25wYwgMF9p,The Lumineers,1,2012,4.0,3.0,77,74.9,67.0,109736,60.9,0.0067399999999999,7,22.7,-10.088,1,3.3300000000000005,127.463,4,0.573
Classic,6FE2iI43OZnszFLuLtvvmg,MKTO,1,2012,,,82,3.84,72.0,175427,79.10000000000001,0.0,1,15.7,-4.689,1,12.4,102.071,4,0.756
Swimming Pools (Drank),6REbwUNlppTfcnV4d4ZoZi,Kendrick Lamar,1,2012,1.0,1.0,81,0.627,57.7,247800,44.7,0.022,8,8.99,-5.892,1,27.700000000000003,74.236,4,0.189
Dreams and Nightmares,42zd6DYQ4o4SECmTITrM1U,Meek Mill,1,2012,10.0,26.0,77,46.8,63.1,230693,77.4,0.0,11,28.1,-2.459,1,30.0,79.745,4,0.44
Let Her Go,1KxwZYyzWNyZSRyErj2ojT,Passenger,1,2012,8.0,28.0,78,36.5,47.9,252733,54.50000000000001,0.0,7,9.63,-7.346,1,6.88,74.897,4,0.243
Summertime Sadness,1Ist6PR2BZR3n2z2Y5R6S1,Lana Del Rey,1,2012,1.0,1.0,78,4.77,56.6,264773,64.7,0.0,1,12.1,-6.815,0,3.35,111.96,4,0.22
Can't Hold Us (feat. Ray Dalton),22skzmqfdWrjJylampe0kt,Macklemore & Ryan Lewis & Macklemore & Ryan Lewis & Ray Dalton,4,2012,10.0,9.0,87,2.67,63.3,258432,92.7,0.0,2,9.86,-4.468,1,8.39,146.097,4,0.88
Timber (feat. Ke$ha),3cHyrEgdyYRjgJKSOiOtcS,Pitbull & Kesha,2,2012,,,83,2.95,58.1,204160,96.3,0.0,11,13.900000000000002,-4.087,1,9.81,129.992,4,0.788
Holly Jolly Christmas,5PuKlCjfEVIXl0ZBp5ZW9g,Michael Bublé,1,2012,11.0,9.0,85,86.5,64.7,119787,46.5,0.0,7,8.82,-8.308,1,4.279999999999999,151.251,4,0.699
Diamonds,1z9kQ14XBSN0r2v6fx4IdG,Rihanna,1,2012,1.0,1.0,77,0.125,56.39999999999999,225147,71.0,0.0,11,10.9,-4.92,0,4.61,91.972,4,0.393
Poetic Justice,2P3SLxeQHPqh8qKB6gtJY2,Kendrick Lamar & Drake,2,2012,,,74,15.7,77.9,300160,57.2,0.0,6,24.6,-9.985,0,37.8,135.956,4,0.647
Loveeeeeee Song,3DZQ6mzUkAdHqZWzqxBKIK,Rihanna & Future,2,2012,12.0,11.0,75,50.8,71.0,256320,59.8,0.0,5,9.71,-7.598,0,3.19,119.981,4,0.501
Radioactive,4G8gkOterJn0Ywt6uhqbhp,Imagine Dragons,1,2012,9.0,4.0,75,10.6,44.8,186813,78.4,0.0107999999999999,9,66.8,-3.686,1,6.2700000000000005,136.245,4,0.236
Sarah,4HuiEuJ7ZW8jewUuZBg6sk,Alex G,1,2012,11.0,5.0,75,51.3,65.0,176147,68.60000000000001,0.0189,4,13.8,-5.198,0,3.14,124.019,4,0.497
I Don't Like,1h6kgem1ai8vUgO1rZOwfB,Chief Keef & Lil Reese,2,2012,1.0,1.0,79,0.0634,74.2,293840,84.39999999999999,0.0,2,6.59,-4.622,1,4.79,131.986,4,0.416
Call Me Maybe,3TGRqZ0a2l1LRblBkJoaDx,Carly Rae Jepsen,1,2012,1.0,1.0,75,1.14,78.3,193400,57.99999999999999,0.000228,7,10.8,-6.548,1,4.08,120.021,4,0.66
Pink Matter,1fOkmYW3ZFkkjIdOZSf596,Frank Ocean & André 3000,2,2012,7.0,10.0,78,95.1,39.2,268813,23.3,0.0322,11,10.6,-11.012,0,5.87,176.569,3,0.494
Super Rich Kids,0725YWm6Z0TpZ6wrNk64Eb,Frank Ocean & Earl Sweatshirt,2,2012,7.0,10.0,78,21.9,73.9,304760,41.9,0.0,3,19.6,-8.241,0,8.540000000000001,60.493,4,0.58
We Are Young (feat. Janelle Monáe),7a86XRg84qjasly9f6bPSD,fun. & Janelle Monáe,2,2012,2.0,21.0,75,2.0,37.8,250627,63.8,0.00766,10,8.49,-5.576,1,7.5,184.086,4,0.735
"Bitch, Don’t Kill My Vibe",4Pwjz3DfvfQWV0rO2V8jyh,Kendrick Lamar,1,2012,,,74,1.52,58.7,310720,69.8,0.0,1,44.2,-8.948,1,9.43,133.954,4,0.0985
Radio,3QhfFRPkhPCR1RMJWV1gde,Lana Del Rey,1,2012,1.0,1.0,76,21.5,42.0,214587,83.7,0.00296,2,8.76,-5.24,1,6.1,75.043,4,0.196
What Makes You Beautiful,4cluDES4hQEUhmXj6TXkSo,One Direction,1,2012,5.0,25.0,85,0.8999999999999999,72.6,199987,78.7,0.0,4,5.96,-2.494,1,7.37,124.99,4,0.888
Covet,1AMADyXgIWayh5vXLZo2qF,Basement,1,2012,10.0,23.0,78,0.1389999999999999,42.8,227340,79.9,7.42,4,7.88,-6.265,1,4.68,139.052,4,0.228
Breezeblocks,3n69hLUdIsSa1WlRmjMZlW,alt-J,1,2012,9.0,18.0,74,9.6,61.5,227080,65.8,0.0911,5,20.5,-7.299,1,3.43,150.093,4,0.293
Beauty And A Beat,6QFCMUUq1T2Vf5sFUXcuQ7,Justin Bieber & Nicki Minaj,2,2012,1.0,1.0,82,0.0704,60.1,227987,84.3,0.00527,0,6.81,-4.87,1,5.93,128.002,4,0.534
Stay,789CxjEOtO76BVD1A9yJQH,Rihanna & Mikky Ekko,2,2012,1.0,1.0,74,94.5,62.1,240707,31.0,0.00612,9,11.7,-10.164,0,2.83,111.893,4,0.125
Little Talks,2ihCaVdNZmnHZWt0fvAM7B,Of Monsters and Men,1,2012,1.0,1.0,82,2.06,45.7,266600,75.7,0.0,1,14.6,-5.177,1,3.2,102.961,4,0.417
Stubborn Love,3ekNuTF3UpOvIZCfiejpnC,The Lumineers,1,2012,4.0,3.0,74,60.7,59.8,279000,56.00000000000001,4.32,0,19.6,-11.679,1,3.75,115.01,4,0.221
Skyfall,6VObnIkLVruX4UVyxWhlqm,Adele,1,2012,10.0,4.0,86,41.7,34.599999999999994,286480,55.2,0.0,0,11.4,-6.864,0,2.82,75.881,4,0.0789
Wild Ones (feat. Sia),1NpW5kyvO4XrNJ3rnfcNy3,Flo Rida & Sia,2,2012,6.0,22.0,82,9.91,60.8,232947,86.0,0.0,5,26.200000000000003,-5.324,0,5.54,127.075,4,0.437
Feel So Close - Radio Edit,1gihuPhrLraKYrJMAEONyc,Calvin Harris,1,2012,10.0,29.0,83,0.0972,70.7,206413,92.4,0.703,7,20.4,-2.842,1,3.1,127.937,4,0.919
Die Young,7EQGXaVSyEDsCWKmUcfpLk,Kesha,1,2012,11.0,30.0,80,0.498,71.1,211920,70.0,0.0125,1,21.5,-4.805,0,4.6,128.001,4,0.801
Treasure,55h7vJchibLdUkxdlX3fK7,Bruno Mars,1,2012,12.0,7.0,83,4.12,87.4,178560,69.19999999999999,0.00724,5,32.4,-5.28,0,4.31,116.017,4,0.937
Just Give Me a Reason (feat. Nate Ruess),1mKXFLRA179hdOWQBwUk9e,P!nk & Nate Ruess,2,2012,9.0,18.0,84,34.599999999999994,77.8,242733,54.7,0.0302,2,13.2,-7.273,1,4.89,95.002,4,0.441
Adorn,25cUhiAod71TIQSNicOaW3,Miguel,1,2012,9.0,28.0,72,5.43,62.5,193147,57.6,0.00407,11,18.7,-5.693,0,17.5,179.063,4,0.235
Hate Bein' Sober,2oHM9KAdFdFvDCaE4V6RST,Chief Keef & 50 Cent & Wiz Khalifa,3,2012,1.0,1.0,77,0.4349999999999999,82.0,280173,47.0,0.0,8,14.099999999999998,-7.181,1,4.58,132.003,4,0.313
Freaking Out the Neighborhood,3HlK8txWAdtKMrbsqX40pl,Mac DeMarco,1,2012,10.0,16.0,77,6.38,56.49999999999999,173889,83.2,2.88,8,38.6,-5.751,0,10.8,143.303,4,0.847
16 Mirrors,4ff1q6L0CZ3nf3LKJ1O7lY,Alex G,1,2012,11.0,5.0,72,63.8,56.39999999999999,87093,30.0,0.22,2,10.1,-7.349,1,8.870000000000001,121.888,4,0.0487
Diet Mountain Dew,6BFnRhvKCclDQOajt8dBGi,Lana Del Rey,1,2012,1.0,1.0,73,28.4,44.2,222920,68.0,0.0,10,42.1,-5.971,0,8.58,176.09,4,0.601
Hall of Fame (feat. will.i.am),1X1DWw2pcNZ8zSub3uhlNz,The Script & will.i.am,2,2012,9.0,10.0,71,6.54,42.1,202533,87.3,0.0,10,12.3,-4.343,1,5.64,84.786,4,0.629
Liquid Smooth,3XCveEutwTaDiekRkkfdp9,Mitski,1,2012,1.0,31.0,77,83.8,42.4,169773,34.2,0.0,7,13.6,-9.469,0,3.39,76.235,4,0.124
Rosemary,4FEr6dIdH6EqLKR0jB560J,Deftones,1,2012,11.0,9.0,75,1.85,28.5,413347,61.3,10.0,5,11.4,-6.412,1,4.21,126.628,4,0.0772
