track_name,track_id,artist(s)_name,artist_count,released_year,released_month,released_day,popularity,acousticness_%,danceability_%,duration_ms,energy_%,instrumentalness_%,key,liveness_%,loudness,mode,speechiness_%,tempo(bpm),time_signature,valence_%
Promiscuous,2gam98EZKrF9XuOkU13ApN,Nelly Furtado & Timbaland,2,2006,1.0,1.0,86,5.69,80.80000000000001,242293,97.0,0.00613,10,15.4,-6.098,0,5.06,114.328,4,0.868
Do You Hear What I Hear? - Remastered 2006,5aDoUmxBsbdpS16alksb5Z,Bing Crosby,1,2006,1.0,1.0,81,81.3,56.6,165667,24.6,0.000148,10,19.5,-15.499,1,2.76,101.529,4,0.412
Teenagers,7j31rVgGX9Q2blT92VBEA0,My Chemical Romance,1,2006,10.0,23.0,84,5.06,46.3,161920,85.7,0.0,4,18.4,-3.063,1,6.32,111.647,4,0.856
Smack That,2kQuhkFX7uSVepCD3h29g5,Akon & Eminem,2,2006,1.0,1.0,87,32.1,93.9,212360,74.2,0.0,5,10.7,-5.171,0,4.67,118.978,4,0.924
Winter Wonderland - Remastered 2006,2IuUMx3uxxJAHcH41aYtn0,Bing Crosby,1,2006,1.0,1.0,79,82.8,59.2,144253,23.0,0.0,10,12.0,-13.603,1,5.11,126.655,4,0.537
Maneater,4wH4dJgrsxONID6KS2tDQM,Nelly Furtado,1,2006,1.0,1.0,84,2.6100000000000003,79.60000000000001,258893,77.7,0.0358,6,12.1,-4.81,1,3.97,132.722,4,0.787
Our Song,15DeqWWQB4dcEWzJg15VrN,Taylor Swift,1,2006,10.0,24.0,75,11.1,66.8,201107,67.2,0.0,2,32.9,-4.931,1,3.03,89.011,4,0.539
Last Christmas - Remastered,6wn2nmFn3wDuiMldRiuRuL,Wham!,1,2006,11.0,11.0,84,26.200000000000003,75.7,267160,61.8,0.0,11,22.1,-7.964,0,2.82,106.856,4,0.861
Face Down,4wzjNqjKAKDU82e8uMhzmr,The Red Jumpsuit Apparatus,1,2006,1.0,1.0,79,0.0665,54.50000000000001,192000,93.2,0.0,7,12.7,-2.189,0,3.99,92.956,4,0.464
Cherry Waves,70L6nHORQsblY813yNqUR3,Deftones,1,2006,10.0,25.0,78,0.0362,47.0,317707,85.9,0.6910000000000001,2,14.2,-3.663,1,5.37,124.01,4,0.17
Frosty The Snowman - Remastered 2006,35MqcEIVZ7svbBpRt4N30g,Bing Crosby,1,2006,1.0,1.0,76,61.7,51.9,133413,36.8,0.0,7,8.59,-11.622,1,7.960000000000001,160.37,4,0.854
The Sweet Escape,66ZcOcouenzZEnzTJvoFmH,Gwen Stefani & Akon,2,2006,1.0,1.0,75,19.1,75.6,246467,77.0,0.0,1,17.8,-3.502,1,3.43,119.961,4,0.73
The Little Drummer Boy - Remastered 2006,0pAT3JUEjIiqUkwxE0vbBQ,Bing Crosby,1,2006,1.0,1.0,76,88.5,63.6,180040,16.5,0.00482,10,5.0200000000000005,-14.261,1,3.28,112.777,4,0.505
Animal I Have Become,56sk7jBpZV0CD31G9hEU3b,Three Days Grace,1,2006,6.0,25.0,76,0.0684,55.3,231400,85.3,0.0,8,12.6,-3.668,1,3.39,122.023,4,0.506
Welcome to the Black Parade,5wQnmLuC1W7ATsArWACrgW,My Chemical Romance,1,2006,10.0,23.0,81,0.0289,21.7,311107,90.5,0.011,2,22.2,-4.103,1,7.52,96.95,4,0.236
Chasing Cars,5hnyJvgoWiQUYZttV4wXy6,Snow Patrol,1,2006,1.0,1.0,84,19.9,56.00000000000001,267960,59.5,0.00647,9,13.2,-4.53,1,2.74,104.011,4,0.144
Dani California,10Nmj3JCNoMeBQ87uw5j8k,Red Hot Chili Peppers,1,2006,5.0,9.0,82,1.93,55.60000000000001,282160,91.3,0.000859,0,34.599999999999994,-2.36,1,4.37,96.184,4,0.73
Put Your Records On,2nGFzvICaeEWjIrBrL2RAx,Corinne Bailey Rae,1,2006,1.0,1.0,81,16.7,73.9,215360,51.1,0.000134,9,13.3,-7.844,1,3.62,96.038,4,0.542
The Diary of Jane - Single Version,0faXHILILebCGnJBPU6KJJ,Breaking Benjamin,1,2006,1.0,1.0,77,0.00713,39.2,200547,96.4,3.87,10,10.6,-4.441,0,6.44,167.024,4,0.269
Me & U,7k6IzwMGpxnRghE7YosnXT,Cassie,1,2006,8.0,7.0,79,35.2,80.30000000000001,192213,45.4,0.0,8,6.550000000000001,-4.802,0,2.94,99.99,4,0.739
Glamorous,4KTtYhxFtFL7mBwnjkKfLm,Fergie & Ludacris,2,2006,9.0,13.0,73,29.1,81.0,246573,75.5,0.0,0,8.57,-6.408,1,19.9,130.991,4,0.625
When You Were Young,70wYA8oYHoMzhRRkARoMhU,The Killers,1,2006,9.0,27.0,80,0.0152,46.7,220427,98.8,4.84,11,28.000000000000004,-3.313,1,11.2,130.433,4,0.321
Crazy,2N5zMZX7YeL1tico8oQxa9,Gnarls Barkley,1,2006,5.0,2.0,75,1.72,83.5,182066,74.1,5.7700000000000005,8,8.260000000000002,-1.609,1,3.39,111.963,4,0.612
SexyBack (feat. Timbaland),0O45fw2L5vsWpdsOdXwNAR,Justin Timberlake & Timbaland,2,2006,9.0,12.0,81,5.84,96.7,242733,58.3,0.0,7,5.19,-5.562,0,7.89,117.0,4,0.964
Snow (Hey Oh),2aibwv5hGXSgw7Yru8IYTO,Red Hot Chili Peppers,1,2006,5.0,9.0,83,11.6,42.7,334667,90.0,0.0017499999999999,11,11.9,-3.674,1,4.99,104.655,4,0.599
Say It Right,2aI21FnmY7TJVKeMaoQZ0t,Nelly Furtado,1,2006,1.0,1.0,83,4.760000000000001,87.2,223080,87.2,0.1119999999999999,1,5.43,-6.328,1,13.900000000000002,116.948,4,0.809
What Child Is This/The Holly And The Ivy - Medley / Remastered 2006,6OJdXv1Q5OdLgYolFEunJ4,Bing Crosby,1,2006,1.0,1.0,73,98.6,33.6,200960,19.4,0.259,10,6.7,-15.1,1,3.22,106.325,3,0.192
So Sick,6brl7bwOHmGFkNw3MBqssT,Ne-Yo,1,2006,1.0,1.0,81,24.6,45.2,207187,57.4,0.0,6,18.9,-8.336,1,31.0,92.791,4,0.58
Supermassive Black Hole,3lPr8ghNDBLc2uZovNyLs9,Muse,1,2006,6.0,19.0,80,4.92,66.8,212440,92.1,0.517,7,8.77,-3.727,1,4.390000000000001,120.0,4,0.782
SOS,30cSNer6TV8x2utjULVeQ5,Rihanna,1,2006,4.0,10.0,78,0.4,67.7,238920,67.10000000000001,0.00507,7,41.3,-4.905,1,3.61,137.046,4,0.527
