track_name,track_id,artist(s)_name,artist_count,released_year,released_month,released_day,popularity,acousticness_%,danceability_%,duration_ms,energy_%,instrumentalness_%,key,liveness_%,loudness,mode,speechiness_%,tempo(bpm),time_signature,valence_%
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),2pXpURmn6zC5ZYDMms6fwa,Perry Como & The Fontane Sisters & Mitchell Ayres & His Orchestra,3,1999,8.0,20.0,88,76.0,72.39999999999999,155933,27.6,0.0,7,11.6,-12.25,1,5.99,112.874,4,0.718
All The Small Things,2m1hi0nfMR9vdGC8UcrnwU,blink-182,1,1999,6.0,1.0,84,1.03,43.4,167067,89.7,0.0,0,61.2,-4.918,1,4.88,148.726,4,0.684
Scar Tissue,1G391cbiT3v3Cywg8T7DM1,Red Hot Chili Peppers,1,1999,6.0,8.0,85,7.79,59.5,215907,71.7,0.2739999999999999,0,10.8,-4.803,1,2.95,88.969,4,0.547
No Scrubs,1KGi9sZVMeszgZOWivFpxs,TLC,1,1999,2.0,23.0,83,2.51,74.3,214400,67.5,0.0717,8,6.8500000000000005,-4.267,0,9.53,92.909,4,0.59
Break Stuff,5cZqsjVs6MevCnAkasbEOX,Limp Bizkit,1,1999,,,83,1.27,43.2,166707,88.4,0.0527,8,16.6,-6.659,1,13.0,108.948,4,0.624
Californication,48UPSzbZjgc449aqz8bxox,Red Hot Chili Peppers,1,1999,6.0,8.0,86,0.21,59.2,329733,76.7,0.165,9,12.7,-2.788,0,2.7,96.483,4,0.328
Forgot About Dre,7iXF2W9vKmDoGAhlHdpyIa,Dr. Dre & Eminem,2,1999,11.0,16.0,82,8.27,92.4,222293,74.0,0.0,8,16.3,-1.299,1,7.739999999999999,133.974,4,0.621
Still D.R.E.,503OTo2dSqe7qk76rgsbep,Dr. Dre & Snoop Dogg,2,1999,11.0,16.0,84,16.0,81.6,270587,77.5,0.031,11,5.43,-3.323,1,23.4,93.431,4,0.527
Otherside,64BbK9SFKH2jk86U3dGj2P,Red Hot Chili Peppers,1,1999,6.0,8.0,85,0.316,45.8,255373,79.5,0.0202,0,7.56,-3.265,1,5.74,123.229,4,0.513
What's My Age Again?,4LJhJ6DQS7NwE7UKtvcM52,blink-182,1,1999,6.0,1.0,81,1.26,39.1,148360,95.1,0.0378,6,8.780000000000001,-7.419,1,6.92,157.66,4,0.468
Drive,7nnWIPM5hwE3DaUBkvOIpy,Incubus,1,1999,10.0,26.0,79,5.62,64.5,232453,79.2,1.21,4,11.9,-7.34,0,3.6,90.565,4,0.666
Higher,1ZozJfi8u9cO2Ob8KwiwNT,Creed,1,1999,1.0,1.0,77,0.00515,45.9,316733,83.0,0.0139999999999999,2,20.6,-6.254,1,3.64,155.827,4,0.431
The Next Episode,4LwU4Vp6od3Sb08CsP99GC,Dr. Dre & Snoop Dogg,2,1999,11.0,16.0,82,2.81,92.2,161507,90.9,0.0,10,8.559999999999999,-2.429,0,27.0,95.295,4,0.309
My Own Worst Enemy,33iv3wnGMrrDugd7GBso1z,Lit,1,1999,2.0,22.0,74,0.129,49.4,169027,94.6,0.0,4,39.8,-2.757,1,6.370000000000001,103.408,4,0.741
Say My Name,7H6ev70Weq6DdpZyyTmUXk,Destiny's Child,1,1999,7.0,27.0,80,27.3,71.3,271333,67.80000000000001,0.0,5,14.9,-3.525,0,10.2,138.009,4,0.734
I Want It That Way,47BBI51FKFwOMlIiX6m8ya,Backstreet Boys,1,1999,5.0,18.0,84,25.7,68.89999999999999,213307,69.39999999999999,0.0,6,14.8,-5.83,0,2.7,99.039,4,0.482
All Star,3cfOd4CMv2snFaKAnMdnvK,Smash Mouth,1,1999,6.0,8.0,81,3.95,73.1,200373,86.7,0.0,11,8.61,-5.881,1,3.2,104.019,4,0.776
