track_name,track_id,artist(s)_name,artist_count,released_year,released_month,released_day,popularity,acousticness_%,danceability_%,duration_ms,energy_%,instrumentalness_%,key,liveness_%,loudness,mode,speechiness_%,tempo(bpm),time_signature,valence_%
Lady Of Namek,6ieWL5CLN9WdC875guWtMe,Tory Lanez,1,2021,12,10,76,19.4,67.60000000000001,193994,65.9,0.0,11,28.3,-5.123,0,4.760000000000001,134.985,4,0.595
Love It Here,0uiHv6ieCOkc9sE9ae3nDJ,Moneybagg Yo,1,2021,4,23,72,27.9,78.60000000000001,89617,43.8,0.0,7,10.5,-10.537,0,39.1,85.924,4,0.154
family ties (with Kendrick Lamar),7Bpx2vsWfQFBACRz4h3IqH,Baby Keem & Kendrick Lamar,2,2021,8,27,74,0.575,71.1,252070,61.1,0.0,1,23.1,-5.453,1,32.9,134.14,4,0.144
The Very First Night (Taylor's Version) (From The Vault),6pYNq0ZwpPVazKzsqpf0G8,Taylor Swift,1,2021,11,12,77,0.1149999999999999,67.80000000000001,200280,73.3,0.0,7,10.4,-5.025,1,2.81,121.009,4,0.581
Cold Heart - PNAU Remix,7rglLriMNBPAyuJOMGwi39,Elton John & Dua Lipa & PNAU,3,2021,10,22,71,3.54,79.5,202735,80.0,0.00725,1,9.15,-6.32,1,3.09,116.032,4,0.934
What He Didn't Do,5OLaVCAM2pqg7X9mAM2W8M,Carly Pearce,1,2021,9,17,72,25.7,62.8,191227,63.2,0.0,9,28.8,-5.932,1,3.25,137.854,4,0.559
Dangerous,1MX19fnaW1OUQoglWTYaOo,Morgan Wallen,1,2021,1,8,71,21.6,63.5,147893,77.2,0.0,7,28.5,-4.825,1,2.79,119.017,4,0.948
Mess It Up,0PLhwCmQ7cC3ThRGPn3HxF,Gracie Abrams,1,2021,5,7,77,24.5,76.5,171280,58.2,0.00821,0,15.4,-4.528,1,12.0,132.992,4,0.36
Smokin Out The Window,3xVZYkcuWalGudeKl861wb,Bruno Mars & Anderson .Paak & Silk Sonic,3,2021,11,11,77,5.58,62.7,197443,61.8,0.0,2,35.099999999999994,-8.529,1,4.37,82.03,4,0.848
Things A Man Oughta Know,3S0sk6DSTgesXsUSAEHNr5,Lainey Wilson,1,2021,2,19,72,51.3,65.9,203373,68.30000000000001,0.000493,3,13.3,-5.623,1,3.12,139.931,4,0.397
Desesperados,6mmPpaltUZK7xjNlBPQQ0p,Rauw Alejandro & Chencho Corleone,2,2021,12,10,81,35.6,86.9,224997,69.39999999999999,0.125,1,8.780000000000001,-3.35,0,7.829999999999999,90.02,4,0.511
Happier Than Ever - Edit,32BeYxKPrig1LefHsC0Xuo,Billie Eilish,1,2021,7,28,79,4.68,33.4,151444,59.9,0.0392,0,20.5,-5.742,1,3.65,161.74,3,0.127
Volví,2vmfvSoZBFAt9hhRoEByLi,Aventura & Bad Bunny,2,2021,8,3,80,42.2,72.5,230125,86.0,0.0284,1,6.74,-3.726,1,18.2,175.896,4,0.791
Cherry Wine,5o5WaO9pzPhXSGIrTIYVce,grentperez,1,2021,9,10,75,34.0,74.0,173286,56.3,0.0,11,8.24,-7.016,0,4.0,104.958,4,0.577
What’s Next,3aQem4jVGdhtg116TmJnHz,Drake,1,2021,3,5,73,1.36,78.10000000000001,178154,59.4,0.0,0,16.2,-6.959,0,4.8500000000000005,129.895,4,0.0628
INDUSTRY BABY (feat. Jack Harlow),5Z9KJZvQzH6PFmb8SNkxuk,Lil Nas X & Jack Harlow,2,2021,9,17,79,2.21,74.1,212353,69.1,0.0,10,4.760000000000001,-7.395,0,6.72,150.087,4,0.892
Human,5AihIu9yF3flkw1jFMyfwW,Cody Johnson,1,2021,10,8,71,17.599999999999998,40.0,221520,64.7,0.00579,2,11.0,-7.279,1,3.37,84.08,4,0.274
Hell Of A View,4mXGooManGPH6xAWRAtRJU,Eric Church,1,2021,4,23,71,10.1,68.89999999999999,175027,59.2,0.8670000000000001,5,11.0,-6.758,1,2.35,98.997,4,0.919
Oh My God,3Kkjo3cT83cw09VJyrLNwX,Adele,1,2021,11,19,80,9.1,53.400000000000006,225149,72.5,0.0,1,2.64,-3.906,1,4.6,88.098,4,0.55
4 Da Gang (with Roddy Ricch),1mAey8kEPmDM2icL56kS9d,42 Dugg & Roddy Ricch,2,2021,5,21,71,1.24,87.0,156368,56.10000000000001,0.0,7,10.3,-10.388,1,18.6,100.458,4,0.691
WITHOUT YOU,1KMkcUvF7m3SDChDOa7i5L,The Kid LAROI,1,2021,7,27,78,21.3,66.2,161385,41.3,0.0,0,13.4,-7.357,1,2.99,93.005,4,0.467
Sleazy Flow,5mt882Eqx22RwFOTE01jS8,SleazyWorld Go,1,2021,10,15,70,23.5,82.5,111484,23.4,0.000954,9,6.959999999999999,-14.202,1,49.5,77.487,4,0.18
Overwhelmed (Ryan Mack Remix),03eyNjBM2mpx28H6kdaufN,Ryan Mack,1,2021,7,14,77,16.1,65.8,103240,44.5,0.0,0,8.450000000000001,-8.749,0,15.4,174.111,4,0.513
Amoeba,0HAqq2GcQKyi3s87GuN7jU,Clairo,1,2021,7,16,74,79.10000000000001,73.9,228922,49.1,3.66,6,10.0,-11.515,1,2.7,111.008,4,0.707
Ode to a Conversation Stuck in Your Throat,51Lf3l6wx008NdBxCQnD6B,Del Water Gap,1,2021,10,8,73,5.98,56.99999999999999,199233,80.4,0.00896,11,18.7,-6.782,1,7.01,87.533,4,0.624
