track_name,track_id,artist(s)_name,artist_count,released_year,released_month,released_day,popularity,acousticness_%,danceability_%,duration_ms,energy_%,instrumentalness_%,key,liveness_%,loudness,mode,speechiness_%,tempo(bpm),time_signature,valence_%
See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB,"Tyler, The Creator & Kali Uchis",2,2017,7,21,92,37.1,55.8,180387,55.900000000000006,0.000749,6,10.9,-9.222,1,9.59,78.558,4,0.62
Dark Red,3EaJDYHA0KnX88JvDhL9oa,Steve Lacy,1,2017,2,20,90,44.6,60.3,173104,78.4,0.000832,6,11.9,-4.023,1,6.2,172.041,4,0.769
Don’t Blame Me,1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,1,2017,11,10,91,10.6,61.5,236413,53.400000000000006,0.00176,9,6.069999999999999,-6.719,0,3.86,135.917,4,0.193
Apocalypse,0yc6Gst2xkRu0eMLeRMGCX,Cigarettes After Sex,1,2017,6,9,90,2.0500000000000003,37.0,290617,46.7,57.2,5,10.9,-9.013,1,2.73,94.485,4,0.182
Ric Flair Drip (with Metro Boomin),7sO5G9EABYOXQKNPNiE9NR,Offset & Metro Boomin,2,2017,10,30,86,14.9,88.0,172800,42.8,0.00505,9,11.4,-8.28,1,20.6,100.007,4,0.333
Freestyle,5BbdKBZO0TH0GhfxUfyhL9,Lil Baby,1,2017,12,1,85,21.7,87.7,162053,51.7,0.0,2,14.3,-5.426,0,7.06,119.996,4,0.255
Evergreen,6me7F0aaZjwDo6RJ5MrfBD,Richy Mitch & The Coal Miners,1,2017,5,17,87,55.7,55.50000000000001,87000,21.6,0.416,3,10.9,-11.661,1,7.21,79.109,3,0.504
LOVE. FEAT. ZACARI.,6PGoSes0D9eUDeeAafB2As,Kendrick Lamar & Zacari,2,2017,4,14,86,26.4,80.0,213400,58.5,0.0,10,15.3,-7.343,1,9.24,126.058,4,0.779
Passionfruit,5mCPDVBb16L4XQwDdbRUpz,Drake,1,2017,3,18,86,25.6,80.9,298941,46.3,8.5,11,10.9,-11.377,1,3.96,111.98,4,0.364
For the First Time,2R4AlwtrrkMaRKojcTIzmL,Mac DeMarco,1,2017,5,5,85,29.6,55.1,182307,52.900000000000006,0.93,5,17.8,-10.469,0,5.17,75.515,4,0.521
Feathered Indians,2tgQaL85WoRfgEa4hFQgrE,Tyler Childers,1,2017,8,4,81,75.0,53.6,224947,57.4,0.2769999999999999,7,10.5,-6.705,1,2.54,87.194,4,0.877
Revenge,5TXDeTFVRVY7Cvt0Dw4vWW,XXXTENTACION,1,2017,8,25,87,78.2,74.6,120027,25.1,0.203,11,10.6,-16.169,0,25.9,139.999,4,0.18
Solo,4lH6nENd1y81jp7Yt9lTBX,Future,1,2017,7,27,84,5.38,78.4,265996,48.6,49.7,5,10.1,-6.497,0,4.75,110.964,4,0.0894
PRIDE.,6IZvVAP7VPPnsGX6bvgkqg,Kendrick Lamar,1,2017,4,14,85,7.86,66.5,275253,53.5,0.0016799999999999,4,15.4,-7.056,0,5.72,138.842,4,0.37
Getaway Car,0VE4kBnHJUgtMf0dy6DRmW,Taylor Swift,1,2017,11,10,87,0.4649999999999999,56.2,233627,68.89999999999999,0.0002229999999999,2,8.88,-6.745,1,12.7,172.054,4,0.351
Get You (feat. Kali Uchis),7zFXmv6vqI4qOt4yGf3jYZ,Daniel Caesar & Kali Uchis,2,2017,8,25,85,42.2,65.8,278180,29.4,0.0052,4,7.489999999999999,-8.533,0,3.2099999999999995,74.038,4,0.358
Delicate,6NFyWDv5CjfwuzoCkw47Xf,Taylor Swift,1,2017,11,10,87,21.6,75.0,232253,40.400000000000006,0.0357,9,9.11,-10.178,0,6.819999999999999,95.045,4,0.0499
20 Min,0uxSUdBrJy9Un0EYoBowng,Lil Uzi Vert,1,2017,11,17,84,10.9,77.3,220587,75.0,0.0,8,17.4,-4.009,0,11.7,123.426,4,0.783
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,1,2017,4,14,86,0.0282,90.8,177000,62.1,0.00539,1,9.58,-6.638,0,10.2,150.011,4,0.421
Fuck Love,7AQim7LbvFVZJE3O8TYgf2,XXXTENTACION & Trippie Redd,2,2017,8,25,85,1.72,79.7,146520,53.3,0.0152,0,10.3,-9.74,0,4.12,131.036,4,0.329
I Know You,71BWZa1liIRyUiuJ3MB66o,Faye Webster,1,2017,5,12,82,28.7,45.4,251667,38.5,0.00997,10,6.16,-12.849,1,3.1300000000000003,154.918,4,0.144
